k2,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.0,0.058,48,False,True,False,62,299,0.0,0.0,871.4099578908526,298
0.0,0.06,1,False,True,False,144,299,0.0,0.0,868.6570157663988,298
0.0,0.058,49,False,True,False,59,300,0.0,0.0,879.1681855130591,299
0.0,0.06,0,False,True,False,52,299,0.0,0.0,866.9945658964032,298
0.0,0.06,2,False,True,False,158,299,0.0,0.0,871.3296766455032,298
0.0,0.06,3,False,True,False,159,299,0.0,0.0,869.0967898890432,298
0.0,0.06,4,False,True,False,116,299,0.0,0.0,875.4012705505494,298
0.0,0.06,5,False,True,False,98,299,0.0,0.0,873.0150126197584,298
0.0,0.06,8,False,True,False,139,299,0.0,0.0,876.3077725693721,298
0.0,0.06,6,False,True,False,116,300,0.0,0.0,881.062620239932,299
0.0,0.06,7,False,True,False,98,299,0.0,0.0,873.6255593758281,298
0.0,0.06,9,False,True,False,58,299,0.0,0.0,870.0961440518518,298
0.0,0.06,16,False,True,False,73,299,0.0,0.0,872.1828295789651,298
0.0,0.06,10,False,True,False,157,300,0.0,0.0,877.9714468442684,299
0.0,0.06,12,True,False,False,155,299,7.633618360043929e+53,1.5267252290134363e+52,872.6137493669639,298
0.0,0.06,11,False,True,False,97,299,0.0,0.0,868.3854752533713,298
0.0,0.06,13,False,True,False,116,299,0.0,0.0,869.5291877258468,298
0.0,0.06,15,False,True,False,80,299,0.0,0.0,870.8439924774103,298
0.0,0.06,14,False,True,False,126,299,0.0,0.0,868.39664152831,298
0.0,0.06,21,False,True,False,34,299,0.0,0.0,872.4628476710927,298
0.0,0.06,17,False,True,False,135,299,0.0,0.0,868.9773460771593,298
0.0,0.06,18,True,False,False,221,299,1.1583465400317367e+54,2.316695426198409e+52,870.8617862847664,298
0.0,0.06,19,False,True,False,80,299,0.0,0.0,874.3264256309474,298
0.0,0.06,26,False,True,False,108,299,0.0,0.0,870.7396865455966,298
0.0,0.06,20,False,True,False,96,299,0.0,0.0,870.3849917517473,298
0.0,0.06,22,False,True,False,108,299,0.0,0.0,873.5256400704322,298
0.0,0.06,23,False,True,False,114,299,0.0,0.0,872.6778356404668,298
0.0,0.06,24,False,True,False,120,299,0.0,0.0,869.0197568133738,298
0.0,0.06,25,False,True,False,123,299,0.0,0.0,866.6926991642358,298
0.0,0.06,32,False,True,False,140,299,0.0,0.0,872.8763926121936,298
0.0,0.06,27,True,False,False,213,300,1.6385504286923013e+54,3.277104179880304e+52,875.8715207608275,299
0.0,0.06,31,False,True,False,115,300,0.0,0.0,877.3372833919972,299
0.0,0.06,30,False,True,False,49,299,0.0,0.0,868.7052133112377,298
0.0,0.06,28,True,False,False,176,300,1.2937596199763353e+54,2.587521873306179e+52,876.7041156423693,299
0.0,0.06,29,False,True,False,146,299,0.0,0.0,870.9051176530154,298
0.0,0.06,34,False,True,False,116,300,0.0,0.0,876.8504188698839,299
0.0,0.06,33,False,True,False,106,299,0.0,0.0,869.992496032738,298
0.0,0.06,38,False,True,False,106,299,0.0,0.0,871.6379224839704,298
0.0,0.06,35,False,True,False,89,299,0.0,0.0,870.3583023902839,298
0.0,0.06,36,False,True,False,114,300,0.0,0.0,883.904366242092,299
0.0,0.06,37,True,False,False,147,300,1.0793289893442119e+54,2.158660185980513e+52,877.1744480191751,299
0.0,0.06,39,False,True,False,46,299,0.0,0.0,873.0883381302083,298
0.0,0.06,46,False,True,False,40,299,0.0,0.0,870.7378865023156,298
0.0,0.06,40,True,False,False,183,299,9.438735733230198e+53,1.8877490684664664e+52,874.0425844620335,298
0.0,0.06,41,False,True,False,124,299,0.0,0.0,872.0036930981397,298
0.0,0.06,42,False,True,False,119,300,0.0,0.0,874.6983591112078,299
0.0,0.06,43,False,True,False,72,300,0.0,0.0,874.1754563078246,299
0.0,0.06,44,False,True,False,106,299,0.0,0.0,876.5810587622938,298
0.0,0.06,45,False,True,False,110,299,0.0,0.0,875.3324535870735,298
