phi,alpha,reproduction_rate,survived,collapsed,extinct,final_population,final_avg_U_sys,final_avg_L_t
1.0,0.32857142857142857,0.09,True,False,False,439,2.454779982267008,0.294207598382599
1.0,0.44285714285714284,0.045,False,True,True,0,0.0,0.0
1.0,0.32857142857142857,0.095,True,False,False,496,2.554456826684985,0.3499148248454023
1.0,0.32857142857142857,0.1,True,False,False,586,2.566110773759807,0.3548826648810689
1.0,0.32857142857142857,0.10500000000000001,True,False,False,667,2.584998567540888,0.36397284686126324
1.0,0.44285714285714284,0.05,False,True,True,0,0.0,0.0
1.0,0.32857142857142857,0.11000000000000001,True,False,False,647,2.5957462353259184,0.36952027117264163
1.0,0.44285714285714284,0.055,False,True,True,0,0.0,0.0
1.0,0.32857142857142857,0.11499999999999999,True,False,False,717,2.6148270418575263,0.3788380385201012
1.0,0.44285714285714284,0.06,False,True,True,0,0.0,0.0
1.0,0.32857142857142857,0.12,True,False,False,769,2.6380625987267536,0.390412796564015
1.0,0.44285714285714284,0.065,False,True,True,0,0.0,0.0
1.0,0.32857142857142857,0.125,True,False,False,784,2.640389464116529,0.39146798645004544
1.0,0.32857142857142857,0.13,True,False,False,817,2.658670085202391,0.4007308485272508
1.0,0.32857142857142857,0.14,True,False,False,872,2.681646826640772,0.4123181679157635
1.0,0.32857142857142857,0.135,True,False,False,795,2.6875060497261454,0.4157521770672168
1.0,0.44285714285714284,0.07,False,True,False,148,0.0,0.0
1.0,0.44285714285714284,0.07500000000000001,True,False,False,305,2.365754849701093,0.2527339879175972
1.0,0.44285714285714284,0.08,True,False,False,296,2.356817781564896,0.25151295479085456
1.0,0.44285714285714284,0.08499999999999999,True,False,False,311,2.3907138090527846,0.2704944473104954
1.0,0.5571428571428572,0.04,False,True,True,0,0.0,0.0
1.0,0.44285714285714284,0.09,True,False,False,491,2.4815931001891998,0.3128499957528204
1.0,0.5571428571428572,0.045,False,True,True,0,0.0,0.0
1.0,0.44285714285714284,0.095,True,False,False,477,2.4836295953573293,0.3112743415146033
1.0,0.5571428571428572,0.05,False,True,True,0,0.0,0.0
1.0,0.44285714285714284,0.1,True,False,False,563,2.539003535140208,0.3383759995018784
1.0,0.5571428571428572,0.055,False,True,True,0,0.0,0.0
1.0,0.44285714285714284,0.10500000000000001,True,False,False,599,2.5874384361672336,0.3657209622363059
1.0,0.44285714285714284,0.11000000000000001,True,False,False,686,2.6175384425254014,0.3804575496745429
1.0,0.5571428571428572,0.06,False,True,True,0,0.0,0.0
1.0,0.44285714285714284,0.11499999999999999,True,False,False,720,2.6143352438444443,0.3783897133766685
1.0,0.44285714285714284,0.12,True,False,False,753,2.6425386976607355,0.3930038070673412
1.0,0.44285714285714284,0.125,True,False,False,800,2.6887475085980563,0.41640557328158856
1.0,0.44285714285714284,0.13,True,False,False,756,2.6569078560084716,0.4000111991696033
1.0,0.5571428571428572,0.07,False,True,False,97,0.0,0.0
1.0,0.44285714285714284,0.135,True,False,False,839,2.672013989962358,0.40741792846289543
1.0,0.5571428571428572,0.065,False,True,False,62,0.0,0.0
1.0,0.44285714285714284,0.14,True,False,False,871,2.699235206177078,0.4212765382519049
1.0,0.5571428571428572,0.08,True,False,False,312,2.3807896547595044,0.2658224564246478
1.0,0.5571428571428572,0.07500000000000001,True,False,False,210,2.247931697268233,0.20405171435334696
1.0,0.5571428571428572,0.08499999999999999,True,False,False,333,2.3756716253891867,0.2597431108177327
1.0,0.6714285714285714,0.04,False,True,True,0,0.0,0.0
1.0,0.5571428571428572,0.09,True,False,False,469,2.510912406686779,0.3253841894202136
1.0,0.6714285714285714,0.05,False,True,True,0,0.0,0.0
1.0,0.6714285714285714,0.045,False,True,True,0,0.0,0.0
1.0,0.5571428571428572,0.095,True,False,False,532,2.5405305743605626,0.3425568278377572
1.0,0.5571428571428572,0.1,True,False,False,570,2.553975646125676,0.3487597797422484
1.0,0.5571428571428572,0.11000000000000001,True,False,False,656,2.5862271994312147,0.36458142863942766
1.0,0.6714285714285714,0.055,False,True,True,0,0.0,0.0
1.0,0.5571428571428572,0.10500000000000001,True,False,False,646,2.57197305239376,0.3574364117927546
1.0,0.5571428571428572,0.11499999999999999,True,False,False,708,2.609949148590453,0.3762814552602326
1.0,0.5571428571428572,0.12,True,False,False,771,2.642522081634583,0.39267428299650636
1.0,0.6714285714285714,0.06,False,True,True,0,0.0,0.0
1.0,0.5571428571428572,0.125,True,False,False,766,2.6639543675626847,0.4036896484698055
1.0,0.5571428571428572,0.13,True,False,False,823,2.6410428466411258,0.391745496803416
