wb_repro_floor,wb_repro_threshold,phi,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,total_births,total_deaths
0.0,0.5,10.0,0.063,1.0,3,False,True,False,84,11,0.0,0.0,0.8268041983540663,1963,2079
0.0,0.5,10.0,0.063,1.0,7,False,True,False,82,11,0.0,0.0,0.7950851686588238,1969,2087
0.0,0.5,10.0,0.063,1.0,5,False,True,False,67,11,0.0,0.0,0.845832451979318,2473,2606
0.0,0.5,10.0,0.063,1.0,6,True,False,False,186,11,5.754511587437535,0.06667445861241852,0.8113092796114444,2904,2918
0.0,0.5,10.0,0.063,1.0,9,False,True,False,104,11,0.0,0.0,0.803867969531308,1775,1871
0.0,0.5,10.0,0.063,1.0,10,False,True,False,111,11,0.0,0.0,0.822397820331678,2080,2169
0.0,0.5,10.0,0.063,1.0,8,False,True,False,168,11,0.0,0.0,0.7957990459956787,2764,2796
0.0,0.5,10.0,0.063,1.0,11,False,True,False,236,11,0.0,0.0,0.8088822417117134,3636,3600
0.0,0.5,10.0,0.063,1.0,12,False,True,False,140,11,0.0,0.0,0.8008162834649777,2726,2786
0.0,0.5,10.0,0.063,1.0,13,False,True,False,173,11,0.0,0.0,0.8080404347004793,3034,3061
0.0,0.5,10.0,0.063,1.0,14,False,True,False,128,11,0.0,0.0,0.818272374995485,2208,2280
0.0,0.5,10.0,0.066,1.0,0,True,False,False,327,11,9.826166810848482,0.11757399745849702,0.8055863217973039,4188,4061
0.0,0.5,10.0,0.066,1.0,1,True,False,False,279,11,8.618678895502894,0.10247925715648191,0.7995390353299561,3233,3154
0.0,0.5,10.0,0.066,1.0,2,True,False,False,360,11,10.972002585875643,0.13189802772268244,0.8024438572554565,4521,4361
0.0,0.5,10.0,0.066,1.0,4,True,False,False,262,11,8.321425878188982,0.09876331354776709,0.8003506769536395,3519,3457
0.0,0.5,10.0,0.066,1.0,3,True,False,False,222,11,6.847679074723496,0.08034008553655368,0.7945278289653068,3579,3557
0.0,0.5,10.0,0.066,1.0,5,True,False,False,353,11,10.365289098645185,0.12431353565051836,0.8087906980566621,3554,3401
0.0,0.5,10.0,0.066,1.0,6,True,False,False,328,11,9.477622033098863,0.11321685832057393,0.8071393156119372,3943,3815
0.0,0.5,10.0,0.066,1.0,7,True,False,False,379,11,11.118159919269498,0.13372513243532885,0.7974549533444509,3760,3581
0.0,0.5,10.0,0.066,1.0,9,True,False,False,307,11,9.680873919753894,0.11575769900908899,0.8062348794035156,3975,3868
0.0,0.5,10.0,0.066,1.0,8,True,False,False,400,11,11.68376781338526,0.14079576573440306,0.7965162074509939,4228,4028
0.0,0.5,10.0,0.066,1.0,10,True,False,False,406,11,11.755647765241735,0.14169433317122887,0.8034209574133768,4133,3927
0.0,0.5,10.0,0.066,1.0,11,True,False,False,291,11,8.858008903020911,0.10547110848157142,0.8115556333488667,3528,3437
0.0,0.5,10.0,0.066,1.0,12,True,False,False,405,11,11.654966809966151,0.14043572603488463,0.7984498877757761,4500,4295
0.0,0.5,10.0,0.066,1.0,13,True,False,False,367,11,10.978806342229209,0.13198308111557192,0.7906357249592251,4593,4426
0.0,0.5,10.0,0.066,1.0,14,True,False,False,495,11,15.13300613064403,0.1839145049237188,0.8149992551503823,5711,5416
0.0,0.5,10.0,0.069,1.0,0,True,False,False,732,11,22.560469183960535,0.27676481349643584,0.8154205585682319,6727,6195
0.0,0.5,10.0,0.069,1.0,1,True,False,False,635,11,18.225408780218284,0.22257246093704147,0.7963976954523193,6405,5970
0.0,0.5,10.0,0.069,1.0,6,True,False,False,270,11,8.344095530579152,0.09904670554077169,0.8106264239873745,3875,3805
0.0,0.5,10.0,0.069,1.0,2,True,False,False,610,11,17.468295283039446,0.21310782667360323,0.8086630966308996,6061,5651
0.0,0.5,10.0,0.069,1.0,3,True,False,False,519,11,15.877896259637831,0.19322633558178687,0.8057367858955351,5057,4738
0.0,0.5,10.0,0.069,1.0,5,True,False,False,604,11,17.544061166162315,0.21405497186777853,0.8039207997651816,6373,5969
0.0,0.5,10.0,0.069,1.0,4,True,False,False,679,11,20.330450760183545,0.24888747535147077,0.7966275920883508,6313,5834
0.0,0.5,10.0,0.069,1.0,8,True,False,False,365,11,11.03675081632653,0.13270744168953968,0.8122342466423321,4023,3858
0.0,0.5,10.0,0.069,1.0,7,True,False,False,795,11,22.89834989386901,0.2809886417489011,0.8040378941425361,7413,6818
