reproduction_rate,alpha,successor_capability,phi,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.062,0.1,12.0,10.0,True,False,False,193,14,4.207768271677899,75.38285679967049,5.749676020519404,0.06661400949986415
0.062,0.1,12.0,10.0,False,True,False,144,14,4.156671908133033,72.86494248236801,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,72,14,4.195308943842621,74.78278071452486,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,188,14,4.171504701470072,73.83727970968273,0.0,0.0
0.062,0.1,12.0,10.0,True,False,False,167,14,4.19734842960145,74.26669123176963,5.2496532349338825,0.06036325200887047
0.062,0.1,12.0,10.0,False,True,False,54,14,4.179609042001171,75.58604419084942,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,135,14,4.160882362171131,73.68009231840219,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,146,14,4.254499343233269,75.42669617012406,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,154,14,4.183333900901298,73.15718280887454,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,97,14,4.176103457370632,74.95491871258888,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,124,14,4.158831554596882,75.0217149521926,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,175,14,4.172890402535895,74.63631893466811,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,161,14,4.237116046583933,75.00549213227316,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,160,14,4.136177881087429,73.06497628820686,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,150,14,4.134436307802262,74.20275192009292,0.0,0.0
0.062,0.1,12.0,10.0,True,False,False,248,14,4.201426706762401,74.99219621586501,7.796646582626801,0.09220307633905844
0.062,0.1,12.0,10.0,False,True,False,204,14,4.170224431670348,75.83131079541357,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,147,14,4.1820094219206005,73.78095758454083,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,135,14,4.250170763007201,74.5138698007176,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,131,14,4.236777569238993,73.4567891555288,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,157,14,4.192143825862424,75.18719493701191,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,81,14,4.179313637197656,73.86049048055293,0.0,0.0
0.062,0.1,12.0,10.0,False,True,False,160,14,4.165586579373001,73.958173516827,0.0,0.0
0.062,0.1,12.0,10.0,True,False,False,206,14,4.217498259335005,74.53257700894834,6.43675914036775,0.07520319790766976
