phi,shock_magnitude,wb_repro_floor,wb_repro_threshold,shock_step,reproduction_rate,alpha,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,final_avg_well_being,pre_shock_avg_well_being,post_shock_avg_well_being,recovery_avg_well_being_step_150,recovery_avg_well_being_step_200,shock_deaths,total_births_post_shock,total_deaths_post_shock
1.0,0.6,0.0,0.5,100,0.066,1.0,5,False,True,False,122,10,0.0,0.0,0.8127030660218877,0.8246925379941972,0.2295067187567149,0.7856701130985085,0.7804991191542516,24,757,821
1.0,0.6,0.0,0.5,100,0.066,1.0,6,False,True,False,171,10,0.0,0.0,0.7840812182187462,0.8131156926704934,0.23085860655948512,0.7998143021359251,0.7982231005358944,39,1247,1362
1.0,0.6,0.0,0.5,100,0.066,1.0,4,False,True,False,139,10,0.0,0.0,0.8250393111968964,0.7905717859503151,0.20593382117258335,0.8309624637943555,0.8087358279174298,37,1209,1344
1.0,0.6,0.0,0.5,100,0.066,1.0,7,True,False,False,227,10,1.046904742100617,0.07824922829029726,0.8088521718864433,0.8089989321891009,0.22281759854139946,0.8054561573944912,0.8079438599448983,34,1398,1421
1.0,0.6,0.0,0.5,100,0.066,1.0,8,False,True,False,197,10,0.0,0.0,0.8044458655821783,0.8087751886682927,0.21676890526903198,0.8053528137205225,0.7930069486723941,44,1713,1844
1.0,0.6,0.0,0.5,100,0.066,1.0,10,False,True,False,93,10,0.0,0.0,0.7799700980592981,0.8057341283299758,0.2231232695347909,0.8223781918133496,0.7914174396234048,27,720,825
1.0,0.6,0.0,0.5,100,0.066,1.0,9,False,True,False,168,10,0.0,0.0,0.8035330017065704,0.797687098249498,0.2128150656496649,0.7937757824262207,0.7845495697356394,41,1561,1696
1.0,0.6,0.0,0.5,100,0.066,1.0,11,False,True,False,154,10,0.0,0.0,0.8033745375998214,0.8261714440144302,0.2310817612958325,0.8207679634319793,0.7861907229847852,36,1193,1301
1.0,0.6,0.0,0.5,100,0.066,1.0,13,False,True,False,145,10,0.0,0.0,0.7947871257575075,0.7938891701486062,0.20961560992552689,0.8014889969070355,0.8139676976717823,34,1037,1137
1.0,0.6,0.0,0.5,100,0.066,1.0,12,True,False,False,243,10,1.088991251662211,0.0835104399096576,0.8149508331895718,0.815586183653613,0.2269333295038046,0.8360373756539226,0.7831657086137074,32,1716,1716
1.0,0.6,0.0,0.5,100,0.066,1.0,14,True,False,False,193,10,0.9757277707397295,0.06935143424872042,0.8227827060797169,0.8000278381337947,0.20861629346865979,0.7704501886061075,0.803222453463834,31,1285,1326
1.0,0.6,0.5,0.5,100,0.066,1.0,0,False,True,False,61,10,0.0,0.0,0.8029852477473343,0.7998517855548726,0.21777924302419013,0.8437596060020851,0.8138913832995326,35,398,594
1.0,0.6,0.5,0.5,100,0.066,1.0,1,False,True,False,54,10,0.0,0.0,0.824732659859834,0.8207646020131069,0.2308097928107446,0.8052433189784591,0.8274490830627174,30,470,636
1.0,0.6,0.5,0.5,100,0.066,1.0,2,False,True,False,68,10,0.0,0.0,0.81612484394574,0.7991293614633995,0.21708582831515186,0.7974398852208519,0.7992810516976107,37,606,813
1.0,0.6,0.5,0.5,100,0.066,1.0,3,False,True,False,80,10,0.0,0.0,0.8222767288065596,0.8092605801069895,0.21689595132694686,0.7823572496199188,0.8232620424474183,42,595,826
1.0,0.6,0.5,0.5,100,0.066,1.0,4,False,True,False,45,10,0.0,0.0,0.8145445187455721,0.821321628514732,0.2266217758463812,0.7567320635583501,0.8163778035935423,46,440,747
1.0,0.6,0.5,0.5,100,0.066,1.0,5,False,True,False,26,10,0.0,0.0,0.8114692762269063,0.80030455370606,0.21969480701891328,0.7800452330911873,0.8272676049843812,38,316,565
1.0,0.6,0.5,0.5,100,0.066,1.0,7,False,True,False,13,10,0.0,0.0,0.8408546605607181,0.7907369409675961,0.2124634083849289,0.80175441820698,0.8327473399448495,27,153,337
1.0,0.6,0.5,0.5,100,0.066,1.0,6,False,True,False,19,10,0.0,0.0,0.7877371777160664,0.8054032468039618,0.21878538600719025,0.7679177388269585,0.8135597740275786,32,234,458
1.0,0.6,0.5,0.5,100,0.066,1.0,8,False,True,False,60,10,0.0,0.0,0.7743593660090985,0.8124794837548805,0.22311123287536663,0.7924278006026925,0.7679033742064086,33,424,612
1.0,0.6,0.5,0.5,100,0.066,1.0,10,False,True,False,52,10,0.0,0.0,0.8160412398981789,0.805792303940963,0.2202513059162311,0.8060093522677407,0.8124462756507185,30,281,450
1.0,0.6,0.5,0.5,100,0.066,1.0,11,False,True,False,43,10,0.0,0.0,0.8431354363065108,0.8132103599882781,0.2234646685499947,0.7937144376203321,0.8095486256328278,36,323,545
1.0,0.6,0.5,0.5,100,0.066,1.0,9,False,True,False,32,10,0.0,0.0,0.7973870767740926,0.8119272105311344,0.22106043741632464,0.796017755446743,0.8220579045099213,28,264,440
1.0,0.6,0.5,0.5,100,0.066,1.0,12,False,True,False,24,10,0.0,0.0,0.8186557947373885,0.8030534160896758,0.22075905630366052,0.773188423582042,0.7910302386318091,31,346,550
1.0,0.6,0.5,0.5,100,0.066,1.0,13,False,True,False,89,10,0.0,0.0,0.8259402577237991,0.8132142824625831,0.2280101593242059,0.7737626815662301,0.8032420906882202,36,715,886
1.0,0.6,0.5,0.5,100,0.066,1.0,14,False,True,False,110,10,0.0,0.0,0.8190134372841505,0.8192143632875555,0.22859396981756872,0.8103145728230676,0.8317633459394308,36,698,861
5.0,0.0,0.0,0.5,100,0.066,1.0,0,True,False,False,286,11,4.587656616388505,0.10417533652677917,0.8024079715659264,0.8480533110444055,0.853035097761169,0.7966907319361041,0.8216616479754824,0,2324,2317
5.0,0.0,0.0,0.5,100,0.066,1.0,1,True,False,False,336,11,5.166195790311951,0.11863990954559092,0.7982478561260246,0.833873523441818,0.8368860108543126,0.7897695184947331,0.7974565370206211,0,2842,2849
5.0,0.0,0.0,0.5,100,0.066,1.0,3,True,False,False,265,11,4.517558188558522,0.10242274332452037,0.8099264407161236,0.8312467699976418,0.8318553185305098,0.8125991920484934,0.8163949703929569,0,2642,2759
5.0,0.0,0.0,0.5,100,0.066,1.0,2,True,False,False,324,11,5.203524005970779,0.11957318551198755,0.8022617699870714,0.8467498366632857,0.8454994616509401,0.7881388998399773,0.809902085772448,0,3269,3292
5.0,0.0,0.0,0.5,100,0.066,1.0,4,True,False,False,301,11,4.761499103471745,0.10852172726150015,0.8022357950296243,0.8163602337361763,0.8200082826122931,0.8062068451333524,0.7945585902213688,0,2667,2720
5.0,0.0,0.0,0.5,100,0.066,1.0,6,True,False,False,245,11,3.9210745188805474,0.08750952394342924,0.7980938833912631,0.8074504378553254,0.8006742169093869,0.7783221626092136,0.8033017699474452,0,1989,1944
5.0,0.0,0.0,0.5,100,0.066,1.0,8,True,False,False,274,11,4.285401182008132,0.09661837921734821,0.8060934991211717,0.8408898302018653,0.8411394187956993,0.8067585742268734,0.7997124180873616,0,2862,2924
