rr,phi,alpha,seed,successor_cap,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.05,5.0,2.0,2,25.0,extinction,322,0,45,0.0009000000000000001,0.13454293122984745,36630.14491967419,12.104563068995546,36642.24948274319
0.05,5.0,2.0,3,100.0,extinction,268,0,1,0.0009000000000000001,0.2212124334413497,1037.8229171240675,20.77151329014577,1058.5944304142133
0.05,5.0,2.0,2,100.0,extinction,320,0,1,0.0009000000000000001,0.13698821517416837,1098.8002077162676,12.349091463427635,1111.1492991796952
0.05,5.0,2.0,3,10.0,extinction,268,0,40,0.0001,0.2092550041889176,16960.29258086216,20.775501617232827,16981.068082479393
0.05,5.0,2.0,1,25.0,extinction,486,0,55,0.0014034621390663152,0.04453479394140917,42829.17406008903,2.3483935221267913,42831.522453611164
0.05,5.0,2.0,3,25.0,extinction,294,0,45,0.0009000000000000001,0.1736563831589594,35827.08052950274,16.01590826190674,35843.096437764645
0.05,5.0,2.0,3,50.0,extinction,257,0,8,0.0009000000000000001,0.24536514830023914,22621.08201896666,23.186784776034717,22644.268803742692
0.05,10.0,0.5,0,5.0,extinction,277,0,45,0.0001,0.19287440524207014,17452.265526140167,18.987441923821418,17471.25296806399
0.05,5.0,2.0,4,10.0,extinction,230,0,35,0.00021497263167428703,0.3070141775713011,14914.680095347929,30.378969099630726,14945.05906444756
0.05,5.0,2.0,4,5.0,extinction,230,0,26,0.0009000000000000001,0.31723593837397535,7164.059395933955,30.37386378340834,7194.433259717363
0.05,5.0,2.0,4,100.0,extinction,230,0,1,0.0009000000000000001,0.31723593837397535,987.2251014965356,30.37386378340834,1017.5989652799439
0.05,10.0,0.5,1,5.0,extinction,161,0,36,0.0024180095692233196,0.6781793564448422,15677.101891133945,60.56444689661888,15737.666338030564
0.05,10.0,0.5,0,10.0,extinction,277,0,51,0.0001,0.19287469302061616,35329.68381603909,18.987470254062664,35348.67128629315
0.05,10.0,0.5,1,25.0,extinction,275,0,52,0.0005940761916735966,0.21153062627557478,69332.95324084749,19.370856802105013,69352.3240976496
0.05,5.0,2.0,4,25.0,extinction,335,0,47,0.0009000000000000001,0.11978691578163957,37020.51439830039,10.628961524174757,37031.143359824564
0.05,10.0,0.5,1,10.0,extinction,161,0,41,0.0001,0.6086869263196086,31519.202859997913,60.56869392703699,31579.77155392495
0.05,5.0,2.0,4,50.0,extinction,403,0,8,0.0009000000000000001,0.06734542573336187,25402.68461763558,5.384812519346985,25408.069430154927
0.05,10.0,0.5,1,50.0,extinction,232,0,33,0.0001,0.3007831941404981,113127.3081213357,29.778319973127655,113157.08644130884
0.05,10.0,0.5,0,50.0,extinction,344,0,42,0.0009000000000000001,0.12413599511969717,146009.6085585218,9.714139403991313,146019.3226979258
0.05,10.0,0.5,0,25.0,extinction,478,0,67,0.0012326179254880968,0.06241859434840205,91680.3124799853,2.5440698703264046,91682.85654985563
0.05,10.0,0.5,1,100.0,extinction,271,0,16,0.0001,0.20461623570246157,96031.12199728137,20.161624013783307,96051.28362129515
0.05,10.0,0.5,2,25.0,extinction,338,0,54,0.0001,0.10616845049345147,71185.210243991,10.316846353503657,71195.52709034449
0.05,10.0,0.5,0,100.0,extinction,434,0,22,0.0012294324973011325,0.07638429280255006,130573.80427615209,3.9501957463329123,130577.75447189843
0.05,10.0,0.5,2,10.0,extinction,320,0,56,0.0003522138355935094,0.1340805706926977,40208.66965212713,12.351427045981126,40221.02107917311
0.05,10.0,0.5,2,50.0,extinction,257,0,30,0.0027368441846138303,0.3140068447945531,105096.44689130611,23.190484041213487,105119.63737534733
0.05,10.0,0.5,2,5.0,extinction,320,0,49,0.001757091520703467,0.17622452800969457,19670.83828178481,12.35129281315962,19683.18957459797
0.05,10.0,0.5,2,100.0,extinction,299,0,15,0.0010321870536457532,0.18331214594953382,96733.78076668554,15.235193339863562,96749.0159600254
0.05,10.0,0.5,3,10.0,extinction,268,0,52,0.0001,0.21075576610824262,36017.16914608817,20.775577905900384,36037.94472399407
0.05,10.0,0.5,3,5.0,extinction,268,0,46,0.0001,0.2107555291025497,17774.639516468735,20.77555454269506,17795.41507101143
