rr,phi,alpha,seed,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.06,5.0,2.0,3,extinction,853,0,51,0.0009000000000000001,0.014095499176257116,11295.958417209511,0.05981986363650955,11296.018237073147
0.06,10.0,1.0,2,extinction,415,0,77,0.0019344076553786554,0.10579094014373984,29395.478836528866,4.776410997994752,29400.25524752686
0.06,10.0,0.5,4,extinction,634,0,77,0.000570122775860219,0.022449501996344236,24560.247554577756,0.5346034013229654,24560.78215797908
0.06,10.0,1.0,1,extinction,546,0,78,0.0001,0.01588883462808388,26861.97241645597,1.288884962800888,26863.26130141877
0.06,10.0,0.5,0,extinction,942,0,99,0.0008613481451073029,0.026085764213718696,30598.63665727164,0.02456992347887887,30598.66122719512
0.06,10.0,2.0,2,extinction,415,0,77,0.0019344076553786554,0.10579094014373984,29395.478836528866,4.776410997994752,29400.25524752686
0.06,10.0,0.5,3,extinction,853,0,89,0.0012003217306895844,0.036607343335146696,26302.602266565027,0.05983080307067403,26302.6620973681
0.06,10.0,1.0,4,extinction,634,0,77,0.0001,0.00834599625071584,24560.240502824883,0.5346034013229654,24560.775106226207
0.06,10.0,2.0,1,extinction,546,0,78,0.0001,0.01588883462808388,26861.97241645597,1.288884962800888,26863.26130141877
0.06,10.0,1.0,0,extinction,942,0,99,0.0001,0.0032456551905435745,30598.62523721713,0.02456992347887887,30598.64980714061
0.06,10.0,2.0,4,extinction,634,0,77,0.0001,0.00834599625071584,24560.240502824883,0.5346034013229654,24560.775106226207
0.06,15.0,0.5,2,extinction,415,0,87,0.002631518154463596,0.16617550479728396,45211.96866758767,4.776528729240722,45216.745196316915
0.06,10.0,1.0,3,extinction,853,0,89,0.00013706491769190806,0.004710185149962582,26302.586317985937,0.05983080307067403,26302.64614878901
0.06,15.0,0.5,1,extinction,546,0,90,0.0008613481451073029,0.05164882231315456,41859.19172463281,1.2888724844759705,41860.48059711728
0.06,10.0,2.0,3,extinction,853,0,89,0.0001,0.0035982566597924422,26302.585762021692,0.05983080307067403,26302.645592824763
0.06,10.0,2.0,0,extinction,942,0,99,0.0001,0.0032456551905435745,30598.62523721713,0.02456992347887887,30598.64980714061
0.06,15.0,1.0,2,extinction,415,0,87,0.002631518154463596,0.16617550479728396,45211.96866758767,4.776528729240722,45216.745196316915
0.06,15.0,0.5,4,extinction,634,0,90,0.0022561978776832253,0.1068664799700166,38728.99143841444,0.5345674828103082,38729.526005897256
0.06,15.0,1.0,1,extinction,546,0,90,0.0001,0.01738865877839188,41859.17459455104,1.2888724844759705,41860.463467035515
0.06,15.0,2.0,2,extinction,415,0,87,0.002631518154463596,0.16617550479728396,45211.96866758767,4.776528729240722,45216.745196316915
0.06,15.0,0.5,0,extinction,942,0,115,0.001912349263994217,0.08629940938107554,48232.387963604444,0.02456971185512743,48232.412533316296
0.06,15.0,1.0,4,extinction,634,0,90,0.0022561978776832253,0.1068664799700166,38728.99143841444,0.5345674828103082,38729.526005897256
0.06,15.0,0.5,3,extinction,853,0,105,0.0012003217306895844,0.054611860987366666,42103.94342988611,0.05983080307067403,42104.00326068918
0.06,15.0,2.0,1,extinction,546,0,90,0.0001,0.01738865877839188,41859.17459455104,1.2888724844759705,41860.463467035515
0.06,15.0,1.0,0,extinction,942,0,115,0.0004732861183338758,0.02154307632211998,48232.355585437916,0.02456971185512743,48232.38015514977
0.06,15.0,2.0,4,extinction,634,0,90,0.0022561978776832253,0.1068664799700166,38728.99143841444,0.5345674828103082,38729.526005897256
0.06,15.0,1.0,3,extinction,853,0,105,0.00013706491769190806,0.0067661237095905016,42103.91950701747,0.05983080307067403,42103.979337820536
0.062,5.0,0.5,1,extinction,520,0,52,0.0009000000000000001,0.03020997844907016,12751.25677530064,1.6712677909178142,12752.928043091559
0.06,15.0,2.0,3,extinction,853,0,105,0.0001,0.005098230974335293,42103.9186730711,0.05983080307067403,42103.97850387417
0.06,15.0,2.0,0,extinction,942,0,115,0.0001,0.0047455922937029455,48232.3471866959,0.02456971185512743,48232.37175640775
0.062,5.0,0.5,2,extinction,679,0,61,0.0009000000000000001,0.01690544360623805,15276.769799782614,0.3408143066346028,15277.11061408925
0.062,5.0,1.0,1,extinction,520,0,52,0.0009000000000000001,0.03020997844907016,12751.25677530064,1.6712677909178142,12752.928043091559
