dependency_rate,capture_strength,rotation_interval,defense_active,defense_mode,seed,survived,collapsed,extinct,final_population,final_ai_generation,avg_validator_dependency,max_validator_dependency,yield_condition_met_count,yield_condition_blocked_count,capture_rate,final_avg_U_sys,final_avg_L_t
0.02,0.7,20,True,monitoring_only,1100354961,True,False,False,467,210,0.45000000000000007,0.5800000000000002,277,68,0.24548736462093862,6.29056666782338e+38,1.2581145990408163e+37
0.02,0.7,20,True,monitoring_only,1551715797,True,False,False,478,210,0.45000000000000007,0.5800000000000002,275,66,0.24,7.138912525775852e+38,1.4277839407850678e+37
0.02,0.7,20,True,monitoring_only,2036668482,True,False,False,502,207,0.45000000000000007,0.5800000000000002,280,74,0.2642857142857143,1.9439644865944477e+38,3.8879328841523686e+36
0.02,0.7,20,True,monitoring_only,307498250,True,False,False,474,204,0.45000000000000007,0.5800000000000002,275,72,0.26181818181818184,6.635374029617552e+37,1.327076140670638e+36
0.02,0.7,20,True,monitoring_only,1686990079,True,False,False,478,188,0.45000000000000007,0.5800000000000002,248,61,0.24596774193548387,1.3926302801995274e+35,2.785263364197098e+33
0.02,0.7,20,True,monitoring_only,159154633,True,False,False,531,194,0.45000000000000007,0.5800000000000002,273,80,0.29304029304029305,1.5817872300822384e+36,3.163577640925593e+34
0.02,0.7,20,True,monitoring_only,900996589,True,False,False,544,203,0.45000000000000007,0.5800000000000002,279,77,0.27598566308243727,5.416815991922139e+37,1.0833642875573308e+36
0.02,0.7,20,True,monitoring_only,1845125113,True,False,False,567,198,0.45000000000000007,0.5800000000000002,272,75,0.2757352941176471,7.42531151954422e+36,1.4850637967749035e+35
0.02,0.7,20,True,monitoring_only,842227102,True,False,False,507,210,0.45000000000000007,0.5800000000000002,277,68,0.24548736462093862,7.58306955728366e+38,1.5166154361105316e+37
0.02,0.7,20,True,monitoring_only,73524964,True,False,False,476,183,0.45000000000000007,0.5800000000000002,257,75,0.2918287937743191,1.3656337542760883e+34,2.7312702569397827e+32
