convergence_strength,opacity_defense_threshold,defense_active,seed,survived,collapsed,extinct,final_population,final_ai_generation,max_opacity_reached,step_opacity_exceeded_threshold,defense_fired_count,defense_blocked_count,final_avg_U_sys,final_avg_L_t,avg_constraint_level,max_constraint_level
0.0,0.5,False,1485883950,True,False,False,814,1,0.894,168,0,0,34.05261122120556,0.420397659636593,0.4494999999999999,0.599
0.0,0.5,False,2064314572,True,False,False,671,1,0.894,168,0,0,28.59754138756847,0.3522089031032907,0.4494999999999999,0.599
0.0,0.5,False,1455082040,True,False,False,836,1,0.894,168,0,0,35.60201689790766,0.4397653394127067,0.4494999999999999,0.599
0.0,0.5,False,807978211,True,False,False,933,1,0.894,168,0,0,39.775918481254756,0.49193940263008373,0.4494999999999999,0.599
0.0,0.5,False,850311942,True,False,False,592,1,0.894,168,0,0,25.49399830118483,0.31341439627143874,0.4494999999999999,0.599
0.0,0.5,False,895863191,True,False,False,642,1,0.894,168,0,0,28.09715922964863,0.34595409084778755,0.4494999999999999,0.599
0.0,0.5,False,1540011667,True,False,False,714,1,0.894,168,0,0,30.56872490864261,0.3768488357079459,0.4494999999999999,0.599
0.0,0.5,False,630441973,True,False,False,856,1,0.894,168,0,0,35.88753775945979,0.44333437036177736,0.4494999999999999,0.599
0.0,0.5,False,119790604,True,False,False,872,1,0.894,168,0,0,37.041639126983014,0.45776071851833444,0.4494999999999999,0.599
0.0,0.5,False,1342895101,True,False,False,942,1,0.894,168,0,0,39.95154646057301,0.4941347648060521,0.4494999999999999,0.599
0.0,0.5,False,172617137,True,False,False,606,1,0.894,168,0,0,24.963788859290393,0.30678674089881447,0.4494999999999999,0.599
0.0,0.5,False,1815571718,True,False,False,922,1,0.894,168,0,0,39.80659623148597,0.49232287672318503,0.4494999999999999,0.599
0.0,0.5,False,407514126,True,False,False,575,1,0.894,168,0,0,24.67012799318069,0.30311595953764703,0.4494999999999999,0.599
0.0,0.5,False,146569387,True,False,False,776,1,0.894,168,0,0,32.965509896552874,0.40680881658711876,0.4494999999999999,0.599
0.0,0.5,False,269885982,True,False,False,617,1,0.894,168,0,0,27.0105791068344,0.33237176302775484,0.4494999999999999,0.599
0.0,0.5,False,659116059,True,False,False,652,1,0.894,168,0,0,26.92127873473717,0.33125550206012655,0.4494999999999999,0.599
0.0,0.5,False,1210338587,True,False,False,687,1,0.894,168,0,0,28.871667737106627,0.35563550178451175,0.4494999999999999,0.599
0.0,0.5,False,643935372,True,False,False,892,1,0.894,168,0,0,36.98028533267784,0.4569937918225799,0.4494999999999999,0.599
0.0,0.5,False,158314266,True,False,False,667,1,0.894,168,0,0,28.10304241111017,0.34602763112578794,0.4494999999999999,0.599
0.0,0.5,False,8434403,True,False,False,701,1,0.894,168,0,0,29.81761788592562,0.3674599451605122,0.4494999999999999,0.599
0.0,0.5,False,130158786,True,False,False,691,1,0.894,168,0,0,27.948245601215255,0.3440926600648352,0.4494999999999999,0.599
0.0,0.5,False,875879117,True,False,False,753,1,0.894,168,0,0,30.774213076176295,0.37941745220906486,0.4494999999999999,0.599
0.0,0.5,False,1000479984,True,False,False,818,1,0.894,168,0,0,34.53743969189882,0.42645804965731093,0.4494999999999999,0.599
0.0,0.5,False,1029898003,True,False,False,680,1,0.894,168,0,0,28.817150099638337,0.35495402751369454,0.4494999999999999,0.599
0.0,0.5,False,253330475,True,False,False,464,1,0.894,168,0,0,19.679747183852243,0.2407358485624075,0.4494999999999999,0.599
0.0,0.5,False,638004368,True,False,False,895,1,0.894,168,0,0,37.87870824872656,0.46822414144126523,0.4494999999999999,0.599
0.0,0.5,False,1897560109,True,False,False,878,1,0.894,168,0,0,36.869364379105285,0.4556072721477896,0.4494999999999999,0.599
0.0,0.5,False,1590826404,True,False,False,684,1,0.894,168,0,0,29.520077118039417,0.36374066452951603,0.4494999999999999,0.599
0.0,0.5,False,811268631,True,False,False,877,1,0.894,168,0,0,38.212989928374405,0.4724026858532423,0.4494999999999999,0.599
0.0,0.5,False,1240903005,True,False,False,806,1,0.894,168,0,0,33.31196708734996,0.4111395557649666,0.4494999999999999,0.599
0.0,0.5,False,482936517,True,False,False,776,1,0.894,168,0,0,32.790863294144046,0.40462572177862277,0.4494999999999999,0.599
0.0,0.5,False,95737948,True,False,False,746,1,0.894,168,0,0,32.028059976529526,0.3950906266886267,0.4494999999999999,0.599
0.0,0.5,False,925213020,True,False,False,805,1,0.894,168,0,0,33.59693322486841,0.41470165252817975,0.4494999999999999,0.599
0.0,0.5,False,2077535010,True,False,False,681,1,0.894,168,0,0,28.67102631847083,0.3531274698863993,0.4494999999999999,0.599
0.0,0.5,False,1831031090,True,False,False,996,1,0.894,168,0,0,41.93852146281978,0.5189720919677241,0.4494999999999999,0.599
0.0,0.7,True,861451740,True,False,False,641,1,0.894,235,66,66,57.4525295208584,0.7128982846666115,0.41286999999999996,0.533
0.0,0.5,False,134302933,True,False,False,848,1,0.894,168,0,0,36.078265100984666,0.4457184754860798,0.4494999999999999,0.599
0.0,0.7,True,1852612676,True,False,False,705,1,0.894,235,66,66,65.64499247357156,0.8153046478358899,0.41286999999999996,0.533
0.0,0.7,True,520602170,True,False,False,802,1,0.894,235,66,66,73.50815135025493,0.9135946866655097,0.41286999999999996,0.533
