alpha,successor_capability,phi,reproduction_rate,survived,collapsed,extinct,final_population,final_ai_generation,runaway_term_mean,runaway_term_max,final_avg_U_sys,final_avg_L_t
0.1,2.5,10.0,0.09,True,False,False,3074,99,0.23057827873847875,3.93619503610885,6.579854961681205e+19,1.3159723095369948e+18
0.1,2.5,10.0,0.09,True,False,False,3046,122,0.09761934985179878,3.892892875229524,7.383306248599356e+23,1.4766627277144502e+22
0.1,2.5,10.0,0.09,True,False,False,3174,108,0.22285887110562017,3.887290896835262,2.534866287188327e+21,5.0697376490082976e+19
0.1,2.5,10.0,0.09,True,False,False,3275,122,0.05439938328710257,3.8802756809994845,7.379627376949594e+23,1.475926952621581e+22
0.1,2.5,10.0,0.09,True,False,False,3218,132,0.09155350243610355,3.89812243657979,4.248922708712762e+25,8.497853923209578e+23
0.1,2.5,10.0,0.09,True,False,False,3157,101,0.15106088389874506,3.923595290700182,1.479493710452694e+20,2.95899038251877e+18
0.1,2.5,10.0,0.09,True,False,False,3136,121,0.0991778345330138,3.9144797433398812,4.9201601192232976e+23,9.840330087749304e+21
0.1,2.5,10.0,0.09,True,False,False,3266,109,0.21571353157752218,3.9496174303767226,3.783183229942282e+21,7.566374033415386e+19
0.1,2.5,10.0,0.09,True,False,False,3277,96,0.17516922625757925,3.9354227100899593,1.9418828859006976e+19,3.8837696592068e+17
0.1,2.5,10.0,0.09,True,False,False,3338,128,0.09065048284890784,3.9416545895697324,8.3714223724735e+24,1.6742861502245143e+23
0.1,2.5,10.0,0.09,True,False,False,3088,105,0.14311034235598824,3.9036887192412584,7.46339532433028e+20,1.4926805589528769e+19
0.1,2.5,10.0,0.09,True,False,False,3086,150,0.0690781829803649,3.911120907408584,6.295233716648224e+28,1.2590480035561983e+27
0.1,2.5,10.0,0.09,True,False,False,3288,125,0.08368653587054893,3.911792841058637,2.487025321972467e+24,4.974055622745822e+22
0.1,2.5,10.0,0.09,True,False,False,3191,91,0.24969389057763555,3.9208183046980656,2.5596919448243174e+18,5.119389013205275e+16
0.1,2.5,10.0,0.09,True,False,False,3053,137,0.0835664230887606,3.967303484246833,3.2309517021302964e+26,6.461909872017397e+24
0.1,2.5,10.0,0.09,True,False,False,3090,105,0.16383740143503445,3.924294264293396,7.485842885608546e+20,1.4971700757687063e+19
0.1,2.5,10.0,0.09,True,False,False,3142,118,0.06378249066568623,3.9928848331319546,1.4637284333395083e+23,2.9274597968369497e+21
0.1,2.5,10.0,0.09,True,False,False,3249,130,0.15094904481244525,3.9070971808827615,1.8870497195044533e+25,3.774103216774862e+23
