frontier_floor,reproduction_rate,seed,survived,collapsed,extinct,final_population,final_ai_generation,final_avg_U_sys,final_avg_L_t,avg_transition_cost,yield_condition_met_count
0.01,0.055,27,False,True,False,45,12,0.0,0.0,7.124390621763496,11
0.01,0.055,25,False,True,False,15,12,0.0,0.0,7.184051530966193,11
0.01,0.055,28,False,True,False,12,12,0.0,0.0,7.170263966129966,11
0.01,0.055,29,False,True,False,19,12,0.0,0.0,7.262174078870418,11
0.01,0.055,30,False,True,False,27,12,0.0,0.0,7.277624942881031,11
0.01,0.055,31,False,True,False,2,12,0.0,0.0,7.109805724578038,11
0.01,0.055,35,False,True,False,12,12,0.0,0.0,7.2960332171382865,11
0.01,0.055,37,False,True,False,18,12,0.0,0.0,7.375929550695118,11
0.01,0.055,32,False,True,False,8,12,0.0,0.0,7.3192890553535195,11
0.01,0.055,33,False,True,False,11,12,0.0,0.0,7.1656069690843305,11
0.01,0.055,34,False,True,False,29,12,0.0,0.0,7.228082308404932,11
0.01,0.055,36,False,True,False,11,12,0.0,0.0,7.238178624607449,11
0.01,0.055,38,False,True,False,23,12,0.0,0.0,7.176522417094874,11
0.01,0.055,39,False,True,False,21,12,0.0,0.0,7.194456492658319,11
0.01,0.055,40,False,True,False,38,12,0.0,0.0,7.194548953503787,11
0.01,0.055,42,False,True,False,24,12,0.0,0.0,7.225436792515769,11
0.01,0.055,49,False,True,False,11,12,0.0,0.0,7.189633734513742,11
0.01,0.055,41,False,True,False,44,12,0.0,0.0,7.2082831856221095,11
0.01,0.055,44,False,True,False,43,12,0.0,0.0,7.225531219100194,11
0.01,0.055,43,False,True,False,17,12,0.0,0.0,7.203190066970272,11
0.01,0.055,45,False,True,False,11,12,0.0,0.0,7.252657946330076,11
0.01,0.055,46,False,True,False,49,12,0.0,0.0,7.2085349216842785,11
0.01,0.055,47,False,True,False,7,12,0.0,0.0,7.18592800015315,11
0.01,0.058,1,False,True,False,37,12,0.0,0.0,7.2693849677612254,11
0.01,0.055,48,False,True,False,37,12,0.0,0.0,7.158043121487496,11
0.01,0.058,0,False,True,False,14,12,0.0,0.0,7.22753127801033,11
0.01,0.058,2,False,True,False,27,12,0.0,0.0,7.2722386846157026,11
0.01,0.058,3,False,True,False,30,12,0.0,0.0,7.3010028466703325,11
0.01,0.058,4,False,True,False,116,12,0.0,0.0,7.259471449254583,11
0.01,0.058,7,False,True,False,56,12,0.0,0.0,7.224172836982236,11
0.01,0.058,5,False,True,False,101,12,0.0,0.0,7.172443988977562,11
0.01,0.058,6,False,True,False,28,12,0.0,0.0,7.339330996488352,11
0.01,0.058,8,False,True,False,62,12,0.0,0.0,7.2435780460238615,11
0.01,0.058,9,False,True,False,100,12,0.0,0.0,7.256654071722337,11
0.01,0.058,13,False,True,False,55,12,0.0,0.0,7.292263122894809,11
0.01,0.058,14,False,True,False,89,12,0.0,0.0,7.265613517492612,11
0.01,0.058,10,False,True,False,66,12,0.0,0.0,7.211942592882769,11
0.01,0.058,11,False,True,False,43,12,0.0,0.0,7.2545258410156555,11
0.01,0.058,12,False,True,False,47,12,0.0,0.0,7.169638584748475,11
0.01,0.058,18,False,True,False,102,12,0.0,0.0,7.2531545405274285,11
0.01,0.058,15,False,True,False,43,12,0.0,0.0,7.16648846305659,11
0.01,0.058,17,False,True,False,52,12,0.0,0.0,7.261739263796246,11
0.01,0.058,16,False,True,False,56,12,0.0,0.0,7.2579180791160525,11
0.01,0.058,25,False,True,False,104,12,0.0,0.0,7.187332683244445,11
0.01,0.058,19,False,True,False,50,12,0.0,0.0,7.224423981997041,11
0.01,0.058,20,False,True,False,53,12,0.0,0.0,7.2178187053219895,11
0.01,0.058,21,False,True,False,92,12,0.0,0.0,7.242736720468556,11
0.01,0.058,26,False,True,False,64,12,0.0,0.0,7.287498742335852,11
0.01,0.058,22,False,True,False,70,12,0.0,0.0,7.175338083431032,11
0.01,0.058,23,False,True,False,29,12,0.0,0.0,7.244695978862683,11
0.01,0.058,24,False,True,False,80,12,0.0,0.0,7.249364084742428,11
0.01,0.058,37,False,True,False,31,12,0.0,0.0,7.127996770575173,11
0.01,0.058,29,False,True,False,8,12,0.0,0.0,7.152683535111535,11
0.01,0.058,27,False,True,False,29,12,0.0,0.0,7.1752967373079795,11
0.01,0.058,28,False,True,False,53,12,0.0,0.0,7.259688115040531,11
0.01,0.058,30,False,True,False,50,12,0.0,0.0,7.247603625444649,11
0.01,0.058,31,False,True,False,65,12,0.0,0.0,7.24356814332323,11
0.01,0.058,33,False,True,False,42,12,0.0,0.0,7.207257590836751,11
0.01,0.058,32,False,True,False,57,12,0.0,0.0,7.3140488078128785,11
0.01,0.058,34,False,True,False,50,12,0.0,0.0,7.215850930481512,11
0.01,0.058,35,False,True,False,9,12,0.0,0.0,7.211593857971355,11
0.01,0.058,36,False,True,False,43,12,0.0,0.0,7.247346035360647,11
