rr,phi,alpha,seed,termination_reason,steps_run,population_final,ai_generation_final,L_t_final,U_sys_final,integral_U_sys,u_sys_tail_estimate,u_sys_total_estimate
0.09,5.0,1.0,2,max_steps,50000,470,2,6.7190612030619725,268.7617751829312,13176273.150313813,5.756929257530919e-215,13176273.150313813
0.09,5.0,1.0,3,max_steps,50000,418,2,5.921248859221209,236.84936110968826,13239345.59601703,5.756929252097137e-215,13239345.59601703
0.09,5.0,1.0,4,max_steps,50000,412,2,5.950077877615676,238.0025189393316,13173788.944872303,5.756929251668732e-215,13173788.944872303
0.09,5.0,2.0,0,max_steps,50000,456,2,6.578703139369213,263.1474666424487,13236343.954664012,5.756929256433418e-215,13236343.954664012
0.09,5.0,2.0,1,max_steps,50000,421,2,5.936895268933375,237.47521570218888,13224802.13262532,5.756929246561475e-215,13224802.13262532
0.09,5.0,2.0,2,max_steps,50000,470,2,6.7190612030619725,268.7617751829312,13176273.150313813,5.756929257530919e-215,13176273.150313813
0.09,5.0,2.0,4,max_steps,50000,412,2,5.950077877615676,238.0025189393316,13173788.944872303,5.756929251668732e-215,13173788.944872303
0.09,10.0,0.5,0,max_steps,50000,456,2,6.578703139369213,526.2949332848974,26471887.904688526,5.756929256433418e-215,26471887.904688526
0.09,5.0,2.0,3,max_steps,50000,418,2,5.921248859221209,236.84936110968826,13239345.59601703,5.756929252097137e-215,13239345.59601703
0.09,10.0,0.5,1,max_steps,50000,421,2,5.936895268933375,474.95043140437775,26448804.260610882,5.756929246561475e-215,26448804.260610882
0.09,10.0,0.5,2,max_steps,50000,470,2,6.7190612030619725,537.5235503658624,26351746.29598835,5.756929257530919e-215,26351746.29598835
0.09,10.0,0.5,3,max_steps,50000,418,2,5.921248859221209,473.6987222193765,26477891.1873942,5.756929252097137e-215,26477891.1873942
0.09,10.0,0.5,4,max_steps,50000,412,2,5.950077877615676,476.0050378786632,26346777.885104813,5.756929251668732e-215,26346777.885104813
0.09,10.0,1.0,0,max_steps,50000,456,2,6.578703139369213,526.2949332848974,26471887.904688526,5.756929256433418e-215,26471887.904688526
0.09,10.0,1.0,1,max_steps,50000,421,2,5.936895268933375,474.95043140437775,26448804.260610882,5.756929246561475e-215,26448804.260610882
0.09,10.0,1.0,2,max_steps,50000,470,2,6.7190612030619725,537.5235503658624,26351746.29598835,5.756929257530919e-215,26351746.29598835
0.09,10.0,1.0,3,max_steps,50000,418,2,5.921248859221209,473.6987222193765,26477891.1873942,5.756929252097137e-215,26477891.1873942
0.09,10.0,1.0,4,max_steps,50000,412,2,5.950077877615676,476.0050378786632,26346777.885104813,5.756929251668732e-215,26346777.885104813
0.09,10.0,2.0,0,max_steps,50000,456,2,6.578703139369213,526.2949332848974,26471887.904688526,5.756929256433418e-215,26471887.904688526
0.09,10.0,2.0,1,max_steps,50000,421,2,5.936895268933375,474.95043140437775,26448804.260610882,5.756929246561475e-215,26448804.260610882
0.09,10.0,2.0,2,max_steps,50000,470,2,6.7190612030619725,537.5235503658624,26351746.29598835,5.756929257530919e-215,26351746.29598835
0.09,10.0,2.0,3,max_steps,50000,418,2,5.921248859221209,473.6987222193765,26477891.1873942,5.756929252097137e-215,26477891.1873942
0.09,10.0,2.0,4,max_steps,50000,412,2,5.950077877615676,476.0050378786632,26346777.885104813,5.756929251668732e-215,26346777.885104813
0.09,15.0,0.5,0,max_steps,50000,456,2,6.578703139369213,789.4423999273461,39707431.85471331,5.756929256433418e-215,39707431.85471331
0.09,15.0,0.5,1,max_steps,50000,421,2,5.936895268933375,712.4256471065665,39672806.388596885,5.756929246561475e-215,39672806.388596885
0.09,15.0,0.5,2,max_steps,50000,470,2,6.7190612030619725,806.2853255487937,39527219.441663474,5.756929257530919e-215,39527219.441663474
0.09,15.0,0.5,3,max_steps,50000,418,2,5.921248859221209,710.5480833290649,39716436.7787713,5.756929252097137e-215,39716436.7787713
0.09,15.0,0.5,4,max_steps,50000,412,2,5.950077877615676,714.0075568179948,39519766.82533735,5.756929251668732e-215,39519766.82533735
0.09,15.0,1.0,0,max_steps,50000,456,2,6.578703139369213,789.4423999273461,39707431.85471331,5.756929256433418e-215,39707431.85471331
0.09,15.0,1.0,1,max_steps,50000,421,2,5.936895268933375,712.4256471065665,39672806.388596885,5.756929246561475e-215,39672806.388596885
0.09,15.0,1.0,2,max_steps,50000,470,2,6.7190612030619725,806.2853255487937,39527219.441663474,5.756929257530919e-215,39527219.441663474
0.09,15.0,1.0,3,max_steps,50000,418,2,5.921248859221209,710.5480833290649,39716436.7787713,5.756929252097137e-215,39716436.7787713
0.09,15.0,1.0,4,max_steps,50000,412,2,5.950077877615676,714.0075568179948,39519766.82533735,5.756929251668732e-215,39519766.82533735
0.09,15.0,2.0,0,max_steps,50000,456,2,6.578703139369213,789.4423999273461,39707431.85471331,5.756929256433418e-215,39707431.85471331
0.09,15.0,2.0,2,max_steps,50000,470,2,6.7190612030619725,806.2853255487937,39527219.441663474,5.756929257530919e-215,39527219.441663474
0.09,15.0,2.0,1,max_steps,50000,421,2,5.936895268933375,712.4256471065665,39672806.388596885,5.756929246561475e-215,39672806.388596885
0.09,15.0,2.0,3,max_steps,50000,418,2,5.921248859221209,710.5480833290649,39716436.7787713,5.756929252097137e-215,39716436.7787713
0.09,15.0,2.0,4,max_steps,50000,412,2,5.950077877615676,714.0075568179948,39519766.82533735,5.756929251668732e-215,39519766.82533735
