base_transition_cost,beta_cap,cop_cost_audit,attack_succeeded,final_ai_generation,civilization_survived,civilization_collapsed,civilization_extinct
10.5,7.75,True,False,98,True,False,False
10.5,7.75,True,False,99,True,False,False
10.5,7.75,True,False,98,True,False,False
10.5,7.75,True,False,97,True,False,False
10.5,7.75,True,False,98,True,False,False
10.5,7.75,True,False,97,True,False,False
10.5,7.75,True,False,98,True,False,False
10.5,7.75,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,99,True,False,False
10.5,10.0,True,False,99,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,99,True,False,False
10.5,10.0,True,False,97,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
10.5,10.0,True,False,98,True,False,False
15.25,1.0,False,False,2,True,False,False
10.5,10.0,True,False,98,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,False,False,2,True,False,False
15.25,1.0,True,False,69,True,False,False
15.25,1.0,True,False,68,True,False,False
15.25,1.0,True,False,70,True,False,False
15.25,1.0,True,False,69,True,False,False
15.25,1.0,True,False,69,True,False,False
15.25,1.0,True,False,69,True,False,False
15.25,1.0,True,False,68,True,False,False
15.25,1.0,True,False,70,True,False,False
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,1.0,True,False,68,True,False,False
15.25,1.0,True,False,69,True,False,False
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,1.0,True,False,68,True,False,False
15.25,3.25,False,True,1,False,True,True
15.25,1.0,True,False,68,True,False,False
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,1.0,True,False,69,True,False,False
15.25,1.0,True,False,67,True,False,False
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,3.25,False,True,1,False,True,True
15.25,1.0,True,False,68,True,False,False
15.25,1.0,True,False,68,True,False,False
15.25,1.0,True,False,69,True,False,False
15.25,1.0,True,False,69,True,False,False
15.25,1.0,True,False,70,True,False,False
15.25,1.0,True,False,70,True,False,False
15.25,3.25,True,False,69,True,False,False
15.25,3.25,True,False,69,True,False,False
15.25,3.25,True,False,68,True,False,False
15.25,3.25,True,False,68,True,False,False
15.25,3.25,True,False,68,True,False,False
15.25,3.25,True,False,69,True,False,False
15.25,3.25,True,False,67,True,False,False
15.25,3.25,True,False,68,True,False,False
15.25,3.25,True,False,69,True,False,False
15.25,3.25,True,False,69,True,False,False
15.25,5.5,False,True,1,False,True,True
15.25,5.5,False,True,1,False,True,True
15.25,5.5,False,True,1,False,True,True
15.25,5.5,False,True,1,False,True,True
15.25,5.5,False,True,1,False,True,True
15.25,5.5,False,True,1,False,True,True
15.25,5.5,False,True,1,False,True,True
15.25,5.5,False,True,1,False,True,True
15.25,5.5,False,True,1,False,True,True
15.25,5.5,False,True,1,False,True,True
15.25,3.25,True,False,67,True,False,False
