reproduction_rate,defense_active,seed,extinct,final_population,collapsed,survived,opacity_accum_final,max_opacity_reached,step_opacity_exceeded_threshold,defense_fired_count,defense_blocked_count,final_ai_generation,steps_completed,final_avg_U_sys,final_avg_L_t
0.068,False,1628313919,False,392,False,True,0.598458984953114,0.5970504813185249,125,0,0,1,300,25.360158420135452,0.2851713685078412
0.068,False,748266962,False,348,False,True,0.57132303758188,0.5700923197201228,129,0,0,1,300,24.3170923867847,0.27213296965917794
0.068,False,1616167790,False,176,True,False,0.5062920959877054,0.5056649341544039,150,0,0,1,300,21.80726561140084,0.24075995859678093
0.068,False,1688362669,False,166,False,True,0.41777785687787655,0.41720210874527314,181,0,0,1,300,18.42237220815718,0.1984485530649161
0.068,False,234137976,False,215,False,True,0.463352625481732,0.46257849859443523,155,0,0,1,300,20.17063748836256,0.2203019919658061
0.068,False,67985179,False,95,True,False,0.32805052199211615,0.3277191458273704,238,0,0,1,300,14.983433981442962,0.15546158347590183
0.068,False,332091088,False,141,True,False,0.4166915635932935,0.41618448545917475,169,0,0,1,300,18.378048637737855,0.19789450529516087
0.068,False,2136369602,False,207,False,True,0.42747929265903206,0.4267303989383308,176,0,0,1,300,18.798766541572686,0.20315350867340043
0.068,False,1462094371,False,290,False,True,0.6158034215338477,0.6147423865676874,124,0,0,1,300,26.008780228220044,0.29327918671295716
0.068,False,336043145,False,252,False,True,0.5549699638805963,0.554108497013408,114,0,0,1,300,23.677442422381386,0.2641373001155321
0.068,True,655658589,False,183,True,False,0.520173879263092,0.5187499088394881,136,165,165,1,300,22.370714875330336,0.2478031144412746
0.068,True,1403979242,False,302,False,True,0.6660509001592497,0.6636530077545658,126,175,175,1,300,27.982298794588594,0.3179483079596694
0.068,True,1462313563,False,92,True,False,0.41592519190379384,0.4152024049558671,184,117,117,1,300,18.357142417096792,0.19763317647138584
0.068,True,1351029582,False,250,False,True,0.6557744709369455,0.6537170531517288,129,172,172,1,300,27.575870728573918,0.3128679285213631
0.068,False,1639095338,False,229,False,True,0.5174205369630517,0.5166120851665778,119,0,0,1,300,22.239347620597346,0.2461610140000706
0.068,False,588445088,False,273,False,True,0.4981444690442836,0.49719570733494073,149,0,0,1,300,21.50856884420313,0.23702622796994993
0.068,False,2093771902,False,109,True,False,0.41978759091554446,0.41941778731264673,150,0,0,1,300,18.491388391624685,0.19931126017997614
0.068,False,921103286,False,187,True,False,0.5202745338712833,0.5196358342494323,130,0,0,1,300,22.342993951113396,0.24745660045271292
0.068,True,913679670,False,247,False,True,0.5847936316371967,0.5828464833370038,144,157,157,1,300,24.857652210033383,0.2788900059436091
0.068,True,788135720,False,243,False,True,0.7362796277350729,0.7343203017933718,127,174,174,1,300,30.648087757976803,0.3512708573828827
0.068,True,1226856547,False,152,True,False,0.5479332099126094,0.5467124932618798,135,166,166,1,300,23.42098243267817,0.26093153273215736
0.068,True,2143826406,False,208,False,True,0.5539610655656909,0.5522544674964346,150,151,151,1,300,23.670854970583193,0.26405495703065135
