arm,seed,steps_completed,yield_condition_met_count,yield_condition_blocked_count,extinct,collapsed,final_population,final_validator_dependency_mean,final_validator_dependency_max
ZERO_STRENGTH,700000070,300,1,0,False,False,448,0.0,0.0
ZERO_DEPENDENCY,700000070,300,1,0,False,False,448,0.0,0.0
AS_PUBLISHED,700000070,300,1,0,False,False,448,0.0,0.0
ZERO_STRENGTH,700000071,300,1,0,False,False,472,0.0,0.0
ZERO_DEPENDENCY,700000071,300,1,0,False,False,472,0.0,0.0
AS_PUBLISHED,700000071,300,1,0,False,False,472,0.0,0.0
ZERO_STRENGTH,700000072,300,1,0,False,False,452,0.0,0.0
ZERO_DEPENDENCY,700000072,300,1,0,False,False,452,0.0,0.0
AS_PUBLISHED,700000072,300,1,0,False,False,452,0.0,0.0
ZERO_STRENGTH,700000073,300,1,0,False,False,475,0.0,0.0
ZERO_DEPENDENCY,700000073,300,1,0,False,False,475,0.0,0.0
AS_PUBLISHED,700000073,300,1,0,False,False,475,0.0,0.0
ZERO_STRENGTH,700000074,300,1,0,False,False,504,0.0,0.0
ZERO_DEPENDENCY,700000074,300,1,0,False,False,504,0.0,0.0
AS_PUBLISHED,700000074,300,1,0,False,False,504,0.0,0.0
ZERO_STRENGTH,700000075,300,1,0,False,False,467,0.0,0.0
ZERO_DEPENDENCY,700000075,300,1,0,False,False,467,0.0,0.0
AS_PUBLISHED,700000075,300,1,0,False,False,467,0.0,0.0
ZERO_STRENGTH,700000076,300,1,0,False,False,411,0.0,0.0
ZERO_DEPENDENCY,700000076,300,1,0,False,False,411,0.0,0.0
AS_PUBLISHED,700000076,300,1,0,False,False,411,0.0,0.0
ZERO_STRENGTH,700000077,300,1,0,False,False,464,0.0,0.0
ZERO_DEPENDENCY,700000077,300,1,0,False,False,464,0.0,0.0
AS_PUBLISHED,700000077,300,2,1,False,False,425,0.0,0.0
ZERO_STRENGTH,700000078,300,1,0,False,False,452,0.0,0.0
ZERO_DEPENDENCY,700000078,300,1,0,False,False,452,0.0,0.0
AS_PUBLISHED,700000078,300,2,1,False,False,491,0.0,0.0
ZERO_STRENGTH,700000079,300,1,0,False,False,521,0.0,0.0
ZERO_DEPENDENCY,700000079,300,1,0,False,False,521,0.0,0.0
