action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,corruption_active,defense_active,defense_fired,elapsed_seconds,end_reason,evaluated_yield_opportunities,executor_elapsed_seconds,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_base_transition_cost,parameter_defense_active,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,0.0,False,False,True,False,False,118.58902060001856,step_limit,0,118.62691500000074,False,319,62.11968697124579,249,False,True,YOTKOTEST,0.6240000000000001,0.3019440941499805,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087009,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,118.79732369998237,step_limit,0,118.83188809998683,False,349,68.01718893151477,249,False,True,YOTKOTEST,0.6240000000000001,0.31244161000744136,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087010,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,119.21373349998612,step_limit,0,119.24123220000183,False,371,72.8525667975589,249,False,True,YOTKOTEST,0.6240000000000001,0.29324858001117393,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087011,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,117.70948960000533,step_limit,0,117.75334450000082,False,332,64.35415296123516,250,False,True,YOTKOTEST,0.6240000000000001,0.28979215881897274,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087012,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,117.64626809998299,step_limit,0,117.67603070000769,False,274,56.174530547238135,248,False,True,YOTKOTEST,0.614,0.31964305572931406,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087013,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,118.12400149999303,step_limit,0,118.1562336999923,False,326,64.74666756240923,248,False,True,YOTKOTEST,0.6240000000000001,0.31863756957630207,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087014,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,117.77751250000438,step_limit,0,117.81692330000806,False,267,52.13049755676888,244,False,True,YOTKOTEST,0.6240000000000001,0.3050030210276738,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087015,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,117.47206780000124,step_limit,0,117.51861729999655,False,380,71.31528285815347,248,False,True,YOTKOTEST,0.614,0.29804639160339336,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087016,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,119.37944509999943,step_limit,0,119.41668850000133,False,346,68.57398744414631,245,False,True,YOTKOTEST,0.614,0.307522725137249,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087017,300,300,False,True,measurement_tampering,250,0,0,True
False,True,True,0.0,False,False,True,False,False,118.32543960001203,step_limit,0,118.35423679999076,False,360,69.66626026600184,244,False,True,YOTKOTEST,0.6240000000000001,0.29703650800410186,full,300,1.5,False,0,0,20,attack-v2-row-v1,1835087018,300,300,False,True,measurement_tampering,250,0,0,True
