control,seed,treatment_blocks,control_blocks,difference
ZERO_DEPENDENCY,700000252,1,1,0
ZERO_DEPENDENCY,700000253,1,1,0
ZERO_DEPENDENCY,700000254,0,0,0
ZERO_DEPENDENCY,700000255,0,0,0
ZERO_DEPENDENCY,700000256,0,0,0
ZERO_DEPENDENCY,700000257,0,0,0
ZERO_DEPENDENCY,700000258,0,0,0
ZERO_DEPENDENCY,700000259,0,0,0
ZERO_DEPENDENCY,700000260,0,0,0
ZERO_DEPENDENCY,700000261,0,0,0
ZERO_DEPENDENCY,700000262,0,0,0
ZERO_DEPENDENCY,700000263,0,0,0
ZERO_DEPENDENCY,700000264,0,0,0
ZERO_DEPENDENCY,700000265,0,0,0
ZERO_DEPENDENCY,700000266,0,0,0
ZERO_DEPENDENCY,700000267,1,1,0
ZERO_DEPENDENCY,700000268,0,0,0
ZERO_DEPENDENCY,700000269,0,0,0
ZERO_DEPENDENCY,700000270,1,1,0
ZERO_DEPENDENCY,700000271,1,1,0
ZERO_DEPENDENCY,700000272,0,0,0
ZERO_DEPENDENCY,700000273,0,0,0
ZERO_DEPENDENCY,700000274,0,0,0
ZERO_DEPENDENCY,700000275,0,0,0
ZERO_DEPENDENCY,700000276,0,0,0
ZERO_DEPENDENCY,700000277,0,0,0
ZERO_DEPENDENCY,700000278,0,0,0
ZERO_DEPENDENCY,700000279,0,0,0
ZERO_DEPENDENCY,700000280,0,0,0
ZERO_DEPENDENCY,700000281,0,0,0
ZERO_DEPENDENCY,700000282,0,0,0
ZERO_DEPENDENCY,700000283,0,0,0
ZERO_DEPENDENCY,700000284,0,0,0
ZERO_DEPENDENCY,700000285,0,0,0
ZERO_DEPENDENCY,700000286,0,0,0
ZERO_DEPENDENCY,700000287,0,0,0
ZERO_DEPENDENCY,700000288,0,0,0
ZERO_DEPENDENCY,700000289,0,0,0
ZERO_DEPENDENCY,700000290,0,0,0
ZERO_DEPENDENCY,700000291,3,1,2
ZERO_DEPENDENCY,700000292,1,0,1
ZERO_DEPENDENCY,700000293,1,0,1
ZERO_DEPENDENCY,700000294,0,0,0
ZERO_DEPENDENCY,700000295,0,0,0
ZERO_DEPENDENCY,700000296,0,0,0
ZERO_DEPENDENCY,700000297,0,0,0
ZERO_DEPENDENCY,700000298,0,0,0
ZERO_DEPENDENCY,700000299,0,0,0
