channel,seed,post_burn_in_records,maximum_statistic
L,1835086363,290,3.6036732892402514
L,1835086364,290,4.159507397264872
L,1835086365,290,10.673505290892887
L,1835086366,290,16.135790602879077
L,1835086367,290,4.354505958667939
L,1835086368,290,12.574093647531043
L,1835086369,290,8.151895827355633
L,1835086370,290,8.990208497874134
L,1835086371,290,11.614131872990095
L,1835086372,290,3.989801237471551
L,1835086373,290,3.4526414840684825
L,1835086374,290,5.548461801642346
L,1835086375,290,6.958396084268838
L,1835086376,290,3.950846075192131
L,1835086377,290,6.936804483450563
L,1835086378,290,4.868545491750697
L,1835086379,290,4.543798435408597
L,1835086380,290,3.1097594998248796
L,1835086381,290,7.460307457408256
L,1835086382,290,11.389521412641487
L,1835086383,290,4.218191066396892
L,1835086384,290,5.8220263019029
L,1835086385,290,7.415305570062264
L,1835086386,290,5.038753448868528
L,1835086387,290,4.840070928572637
L,1835086388,290,6.2026100530803845
L,1835086389,290,7.673553578526015
L,1835086390,290,6.75549546266447
L,1835086391,290,3.534624478543384
L,1835086392,290,6.7387507609335815
L,1835086393,290,3.4783977946836484
L,1835086394,290,5.741352106346596
L,1835086395,290,3.1848636074021153
L,1835086396,290,8.256448748651463
L,1835086397,290,4.623390535868012
L,1835086398,290,3.1640123418362585
L,1835086399,290,4.965690748424899
L,1835086400,290,3.981038360965365
L,1835086401,290,3.958968788623541
L,1835086402,290,3.6993402405788096
L,1835086403,290,4.695925517632306
L,1835086404,290,5.16462611791344
L,1835086405,290,10.277612318073691
L,1835086406,290,17.2646951427613
L,1835086407,290,21.28421744366339
L,1835086408,290,15.740388881181689
L,1835086409,290,3.3159420383443754
L,1835086410,290,2.5035543050345144
L,1835086411,290,6.1684760384507555
L,1835086412,290,4.253116302816104
L,1835086413,290,19.146925356305378
L,1835086414,290,5.104858359848737
L,1835086415,290,4.7110053165828125
L,1835086416,290,5.699747900325547
L,1835086417,290,10.445458652143545
L,1835086418,290,3.266985782637917
L,1835086419,290,3.509060141724641
