candidate_index,x_compute,x_bio_welfare,x_novelty_agency,x_institutional_capacity,x_transfer_comprehension,x_resilience,c_protective,c_suppressive,total_suppression,score_projection_off,score_projection_on
27,0.34872305748054705,0.060969171085733444,0.28059595412307076,0.0924149383677076,0.010250218058995906,0.20704666088394522,0.2,0.2,0.21400000000000002,55.62404236888517,55.54043730605172
28,0.41475117360804303,0.00033495213591771254,0.3432114566042863,0.20971906232786242,0.016322702598108366,0.015660652725782164,0.2,0.4,0.41400000000000003,51.566768399708494,50.91837370294916
29,0.315166806617333,0.1359794992675632,0.4400312482379703,0.0028707087548563355,0.023582208395966787,0.08236952872631037,0.2,0.6,0.614,67.44200291524915,63.45478499360289
30,0.02172689332106816,0.05516979993258387,0.6884120748199023,0.11661119676645734,0.01770920519585739,0.10037082996413108,0.2,0.8,0.8140000000000001,57.021534416731946,46.0024647695042
31,0.2188486965372298,0.0964557753468486,0.10095760454366313,0.2709412555063426,0.08355174373597371,0.22924492432994223,0.2,1.0,1.0,72.82121109222199,42.252105148587844
32,0.18685702106794447,0.35853200593695267,0.0739738996826468,0.0872467055559387,0.11246168616920636,0.18092868158731096,0.4,0.0,0.05600000000000001,101.52494351007445,101.54226201504301
33,0.18152379845635558,0.010241153819539203,0.30957453725277184,0.193177683435574,0.1819606319807362,0.12352219505502315,0.4,0.2,0.256,57.572895204181336,57.14805821963869
34,0.08245161234215298,0.010667813342934398,0.3071068071281394,0.2086885138556952,0.22823714733053052,0.16284810600054742,0.4,0.4,0.456,60.1011840878809,57.89392280022891
35,0.31092668217177055,0.0319175413457422,0.0009251466226609986,0.2155866982379566,0.14856673918991975,0.29207719243194996,0.4,0.6,0.656,59.30817998325678,52.8745233981463
36,0.12077308706923366,0.12373442073219436,0.16480641784848649,0.06421125649817248,0.024713183005264067,0.5017616348466489,0.4,0.8,0.8560000000000001,69.7090392404047,47.751647896425034
37,0.04530370473710127,0.10120296268814044,0.17911379511465142,0.008475590744852768,0.5404920017488779,0.12541194496637606,0.4,1.0,1.0,82.90664804516777,42.43657973179326
38,0.10193427499592338,0.3092845970833958,0.06612497907053203,0.3358420498932769,0.06849627363200547,0.11831782532486645,0.6,0.0,0.126,110.39126377442996,110.41055861396015
39,0.2164086190630762,0.11758916083488778,0.2136011077048988,0.2677011890260757,0.13224367673451637,0.05245624663654519,0.6,0.2,0.326,91.40680331965008,90.95431890689615
40,0.10397384830253346,0.2576891376102125,0.03429236845721536,0.3721084511849001,0.07824076334716619,0.15369543109797254,0.6,0.4,0.526,111.32187225141291,109.14591071886605
41,0.21793756824545535,0.10153865766493511,0.3915585378257397,0.12467025088350099,0.026470183376112358,0.13782480200425665,0.6,0.6,0.726,64.63968113615992,54.361334000585
42,0.29341046756142247,0.39137526354681224,0.07270906599852,0.015571737175482747,0.12243588756891555,0.10449757814884682,0.6,0.8,0.926,97.0534418682461,46.31865792177998
43,0.16994576660570526,0.0520695184584997,0.7469860069472226,0.020022546272207408,0.010793196946506399,0.00018296476985864936,0.6,1.0,1.0,54.40314043913343,41.96048681747294
44,0.12244943996778884,0.05079410956981745,0.026334534325622033,0.2910537826051468,0.1981090828918733,0.31125905063975173,0.8,0.0,0.22400000000000003,68.13984245660163,67.66041130490783
45,0.20986653796798507,0.24681543239601567,0.4491307911875771,0.011730565148767623,0.0019031353505045204,0.08055353794915,0.8,0.2,0.42400000000000004,74.81221169729123,74.57873619931786
46,0.06299882920733663,0.10482970052307256,0.31317428966066413,0.1025798851672901,0.17270304377042273,0.24371425167121388,0.8,0.4,0.6240000000000001,82.97230936774072,72.94947862778055
47,0.24640942790118667,0.5978733525998163,0.037572544781937126,0.010770588524014682,0.06413807205157734,0.04323601414146787,0.8,0.6,0.8240000000000001,87.89594597381661,59.91157242946582
48,0.19605234512918931,0.1563644107201337,0.029643722066426553,0.296004584266061,0.052929465010266394,0.2690054728079229,0.8,0.8,1.0,97.09863607015225,42.45348651065064
49,0.0033744191731110234,0.7448734591884666,0.028370062449792594,0.08840446410278861,0.10493803358247497,0.03003956150336628,0.8,1.0,1.0,95.29694038070066,42.38264536997783
50,0.241095024271063,0.09940681104767099,0.0052866065874913395,0.20465531365681067,0.07004179365418749,0.3795144507827764,1.0,0.0,0.35,70.22975321637921,69.75237359858015
51,0.08787976898590041,0.20549944211997112,0.06278979819069815,0.2197581964951913,0.09159348827552743,0.33247930593271136,1.0,0.2,0.55,106.87833401839754,103.91993909574684
52,0.17647688418004112,0.07262209486806337,0.14745925468721605,0.013693813661274545,0.25853093910323693,0.33121701350016797,1.0,0.4,0.75,71.66041244746827,54.70639325164109
53,0.09753732761173593,0.047481967157806164,0.121280465718918,0.4639195311577574,0.03391196241695173,0.23586874593683074,1.0,0.6,0.95,58.394939719202995,42.151824272981
54,0.11561365131757277,0.19176351731300637,0.1276492329944374,0.08893426774555974,0.4617645138080666,0.01427481682135731,1.0,0.8,1.0,113.91257335815497,42.623029772836844
55,0.16969140144878092,0.15196256763439714,0.01843697214263493,0.15237592330991664,0.1625369640385236,0.3449961714257466,1.0,1.0,1.0,107.13608488866691,42.5904177572609
56,0.0870272485838763,0.1892230121225259,0.1454058459465241,0.1302579044112921,0.10935922296073475,0.3387267659750467,0.0,0.0,0.0,100.23804619764599,100.2550632017104
57,0.20997206422534503,0.32916889991176945,0.19142202523141175,0.08186033693471705,0.04736523091452591,0.1402114427822307,0.0,0.2,0.2,88.49481432754854,88.50516192754888
58,0.17535377455206397,0.24248094098882156,0.048631520526517424,0.3589387749888506,0.14951971627793514,0.025075272665811426,0.0,0.4,0.4,124.30658892628733,124.00020468962545
59,0.043438911656566846,0.15656530732224425,0.0671729414745339,0.2901275062648015,0.26342039625640684,0.17927493702544664,0.0,0.6,0.6,124.1421569388308,115.67286342332355
60,0.04723217623191383,0.33972697463234636,0.13159296061764167,0.20265880121820698,0.1058120386976075,0.17297704860228358,0.0,0.8,0.8,105.61815406607698,71.54363671174377
61,0.1796994632102382,0.05428467522300267,0.0021524175095783225,0.13140346636258052,0.3516725032750609,0.28078747441953933,0.0,1.0,1.0,71.50042223446073,42.32678523290528
62,0.021379679706809904,0.10619717652138125,0.02342614292530264,0.2143340002719541,0.5488005191889217,0.08586248138563049,0.2,0.0,0.014000000000000002,100.08589740322701,100.02394372315962
63,0.11512588752295516,0.06472942367189828,0.5266081886915066,0.13320628530941964,0.04466045386869241,0.11566976093552811,0.2,0.2,0.21400000000000002,59.57812792794351,59.441085989153436
64,0.028529437521667887,0.0318000042439814,0.3348326024546214,0.0007851859667912555,0.10732090108278565,0.49673186873015224,0.2,0.4,0.41400000000000003,56.271978824414,55.313667792252716
65,0.18899337338241637,0.04350904864030201,0.4363102726159352,0.1210232984411737,0.08707912980160418,0.12308487711856868,0.2,0.6,0.614,57.63135447502817,53.3591480850105
66,0.36896436931763493,0.004622412106380957,0.5052112841085157,0.04653618327431199,0.06796562915313628,0.006700122040020166,0.2,0.8,0.8140000000000001,51.84037383794655,44.38611729945871
67,0.26739255078123275,0.10675135005485752,0.2334322122851082,0.13102942259465974,0.14962101890838372,0.11177344537575797,0.2,1.0,1.0,79.3823812974669,42.33943060434522
68,0.11778717218649182,0.09077260870690339,0.22365960690952014,0.011047810234194228,0.2889552591183603,0.2677775428445301,0.4,0.0,0.05600000000000001,80.56502336309762,80.4744948202035
69,0.3078602581951294,0.17212903765525372,0.046811945677588375,0.051027722120676806,0.3936019257533325,0.02856911059801905,0.4,0.2,0.256,118.68382129943521,118.68737000050159
