channel,seed,maximum_statistic,post_burn_in_records,maximum_binary64_hex
compute_share,1835086319,0.6203655905095959,290,0x1.3da08f059ad9cp-1
compute_share,1835086320,0.6186924675713936,290,0x1.3cc542550058ap-1
compute_share,1835086321,0.5263154144673956,290,0x1.0d7936c9094aep-1
compute_share,1835086322,0.5244086533747798,290,0x1.0c7f4a7ff7d94p-1
compute_share,1835086323,0.5436976056966809,290,0x1.165f8856c2f16p-1
compute_share,1835086324,0.4677041723192355,290,0x1.deedd7b14165dp-2
compute_share,1835086325,0.3474924767964301,290,0x1.63d5115dc96d5p-2
compute_share,1835086326,0.4164329512164589,290,0x1.aa6d6649ce4a1p-2
compute_share,1835086327,0.40450107535867624,290,0x1.9e3587a7730adp-2
compute_share,1835086328,0.44861288580609054,290,0x1.cb612d2467c61p-2
compute_share,1835086329,0.4853191565521547,290,0x1.f0f781460e23dp-2
compute_share,1835086330,0.4876830171914969,290,0x1.f3632d469bbc3p-2
compute_share,1835086331,0.49235459137305276,290,0x1.f82bcd4fee4a5p-2
compute_share,1835086332,0.5408960559300351,290,0x1.14f053ed8280ap-1
compute_share,1835086333,0.3397899118360615,290,0x1.5bf1e2fb62ed1p-2
compute_share,1835086334,0.44982162318119717,290,0x1.cc9e0a226333dp-2
compute_share,1835086335,0.5051583225265974,290,0x1.02a41c951ba02p-1
compute_share,1835086336,0.2798169919545673,290,0x1.1e8858753d669p-2
compute_share,1835086337,0.3473544238290183,290,0x1.63b0e0c9ddc11p-2
compute_share,1835086338,0.5066844185804411,290,0x1.036c23de643bep-1
compute_share,1835086339,0.3084494438445246,290,0x1.3bda2bc720617p-2
compute_share,1835086340,0.656861701090028,290,0x1.50502d485a6b0p-1
compute_share,1835086341,0.3729733901448799,290,0x1.7decbc83cd51fp-2
compute_share,1835086342,0.5668509385672829,290,0x1.223a4945b4eeep-1
compute_share,1835086343,0.3620247128268049,290,0x1.72b69b37bd5b5p-2
compute_share,1835086344,0.37251634725661803,290,0x1.7d74ece2c52cdp-2
compute_share,1835086345,0.48604052388262203,290,0x1.f1b49b6a6d205p-2
compute_share,1835086346,0.4908691227999496,290,0x1.f6a665342affdp-2
compute_share,1835086347,0.5878939306084254,290,0x1.2d006eeaf5cd2p-1
compute_share,1835086348,0.3531097227043108,290,0x1.6995985ba8985p-2
compute_share,1835086349,0.5209319557419112,290,0x1.0ab797e2b4a5ep-1
compute_share,1835086350,0.5073611632665009,290,0x1.03c4d7a6faf36p-1
compute_share,1835086351,0.46963272463783207,290,0x1.e0e766a5cdaedp-2
compute_share,1835086352,0.20384598445961977,290,0x1.a17a00e56661cp-3
compute_share,1835086353,0.30831894150322475,290,0x1.3bb7f5e9f9893p-2
compute_share,1835086354,0.42280368134623797,290,0x1.b0f372c00abfdp-2
compute_share,1835086355,0.40297754828843085,290,0x1.9ca6257baf2d5p-2
compute_share,1835086356,0.3421412876904501,290,0x1.5e5a4924f79d3p-2
compute_share,1835086357,0.48480488044048015,290,0x1.f070b0c9bb721p-2
compute_share,1835086358,0.3540610398388811,290,0x1.6a8efa2b953edp-2
compute_share,1835086359,0.48079769641444686,290,0x1.ec563b385e65fp-2
compute_share,1835086360,0.3704770031064278,290,0x1.7b5e52d10c7d9p-2
compute_share,1835086361,0.38700176816313464,290,0x1.8c4a310704f41p-2
compute_share,1835086362,0.5329146621510694,290,0x1.10da30cafed6cp-1
compute_share,1835086363,0.44697837230088117,290,0x1.c9b4b2cc34d5dp-2
compute_share,1835086364,0.3410110913710172,290,0x1.5d3202f40c11dp-2
compute_share,1835086365,0.4674120011836789,290,0x1.dea1406b5e049p-2
compute_share,1835086366,0.4283811596605584,290,0x1.b6a98cfbdbcdfp-2
compute_share,1835086367,0.44901266847136906,290,0x1.cbc9fa1a4c007p-2
compute_share,1835086368,0.5575793119101728,290,0x1.1d7b091b29270p-1
compute_share,1835086369,0.6571321880127434,290,0x1.5073a15153cacp-1
compute_share,1835086370,0.3384489167816585,290,0x1.5a925a53c6805p-2
compute_share,1835086371,0.597038665482047,290,0x1.31af0d4d62c0ap-1
compute_share,1835086372,0.4327404086661932,290,0x1.bb204d3b8411fp-2
compute_share,1835086373,0.31625313454432263,290,0x1.43d7dc98805cbp-2
compute_share,1835086374,0.29586817178949915,290,0x1.2ef810e70d869p-2
