successor_capability,alpha,rr,seed,survived,final_population,final_ai_generation,final_active_capability,yield_fired,yield_fire_count,yield_eval_count,max_yield_margin,mean_yield_margin,final_theta_capability,final_transfer_state,final_avg_well_being,final_theta_tech_observed,final_runaway_term,expected_theta_tech,theta_relative_error,theta_below_floor,max_eval_runaway_term,min_eval_theta_tech,eval_observations_below_floor,extreme_eval_observations
5.0,1.5,0.06,19,True,35,1,1.0,False,0,500,-4.64891334195562,-17.69955797474886,0.7366476218510014,0.9297691094214234,0.827840736890357,0.684912203325815,0.0,0.684912203325815,0.0,False,6.049183599919902,0.01,0,3
5.0,1.5,0.06,20,False,0,1,1.0,False,0,448,-3.5419935616307967,-14.470291438848975,0.6647606694918465,0.9783576061049815,0.0,0.01,64.97606694918466,0.01,0.0,False,6.074061979388762,0.01,0,5
5.0,1.5,0.06,21,False,0,1,1.0,False,0,350,-3.583131601103368,-18.687829791759448,0.7314691609150514,0.9442136710755717,0.0,0.01,71.64691609150515,0.01,0.0,False,5.958682674227415,0.01,0,3
5.0,1.5,0.06,14,False,0,1,1.0,False,0,495,-3.5907204228078724,-13.253388637932769,0.7299341201826843,0.9732039951773825,0.0,0.01,71.49341201826843,0.01,0.0,False,6.32352962485077,0.01,0,3
5.0,1.5,0.06,15,True,30,1,1.0,False,0,500,-4.650136285989722,-21.60613970726628,0.7161691448621653,0.9562859214515375,0.8393905716020843,0.6848624706096754,0.0,0.6848624706096754,0.0,False,6.095269070732316,0.01,0,3
5.0,1.5,0.06,16,False,27,1,1.0,False,0,500,-4.65103966807078,-18.952855047561787,0.7669988887885256,0.9607123091219417,0.81171091179447,0.7368652735419878,0.0,0.7368652735419878,0.0,False,6.088319441199226,0.01,0,3
5.0,1.5,0.06,17,False,4,1,1.0,False,0,500,-4.204412209065169,-15.136560381595645,0.7465585166118598,0.9154322248462701,0.804758115266803,0.6834237238399259,0.0,0.6834237238399259,0.0,False,6.039867003930746,0.01,0,3
5.0,1.5,0.06,22,False,9,1,1.0,False,0,500,-3.879774046032484,-15.307670806387906,0.7600949945690408,0.9234477168484908,0.8158846333359137,0.7019079873227467,0.0,0.7019079873227467,0.0,False,6.2534333839242855,0.01,0,3
5.0,1.5,0.06,23,False,13,1,1.0,False,0,500,-4.651350207300024,-17.33076807461604,0.6837584510256499,0.9374890251208735,0.7793173726287612,0.641016043670195,0.0,0.641016043670195,0.0,False,5.93251257258004,0.01,0,2
5.0,1.5,0.06,24,False,19,1,1.0,False,0,500,-4.652514319730733,-12.820449150251262,0.7122328238608733,0.9394905020827968,0.7659485163398927,0.6691359732889001,0.0,0.6691359732889001,0.0,False,5.89564503427378,0.01,0,2
5.0,1.5,0.064,0,False,25,1,1.0,False,0,500,-4.6510565968311575,-18.439338670986814,0.7316298191090459,0.9252876377572011,0.8826033909729393,0.6769680270361375,0.0,0.6769680270361375,0.0,False,6.154296512688259,0.01,0,3
5.0,1.5,0.064,1,True,79,1,1.0,False,0,500,-4.650179412794529,-21.94628652123799,0.7356246793980439,0.9361086980144326,0.8398414803364809,0.6886246608585873,0.0,0.6886246608585873,0.0,False,6.007399556307486,0.01,0,2
5.0,1.5,0.064,2,False,13,1,1.0,False,0,500,-4.647946425618584,-18.1485665670234,0.7466598469969404,0.959567504101996,0.7730181633863439,0.7164705257960323,0.0,0.7164705257960323,0.0,False,6.465409838477016,0.01,0,3
5.0,1.5,0.064,3,False,23,1,1.0,False,0,500,-4.645886588035038,-18.4404996885187,0.6994173132672391,0.9553779709162733,0.8655574351182631,0.6682078935729664,0.0,0.6682078935729664,0.0,False,6.147228954896921,0.01,0,3
5.0,1.5,0.064,4,False,2,1,1.0,False,0,500,-3.5471792770487385,-16.922610718051857,0.7458422580755499,0.9451599214256513,0.6884497279075237,0.7049402100386171,0.0,0.7049402100386171,0.0,False,6.147082003832567,0.01,0,3
5.0,1.5,0.064,5,True,37,1,1.0,False,0,500,-4.6482034943363555,-18.094798462981643,0.7256767308049419,0.9282193114933001,0.8277897673746107,0.673587155434472,0.0,0.673587155434472,0.0,False,6.047780881475881,0.01,0,3
5.0,1.5,0.064,6,True,39,1,1.0,False,0,500,-4.648911545262166,-18.213434913137963,0.7326342644286092,0.9543943564746076,0.8035119801163401,0.69922200733059,0.0,0.69922200733059,0.0,False,6.178686052469169,0.01,0,3
