action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_shock_magnitude,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,False,0.0,False,False,True,True,71.18991362070665,0,False,315,67.18758945671674,0,False,True,linux,1.0,0.29903697197700396,full,300,True,0.15,0,4,20,attack-v2-row-v1,966532119,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.82889052806422,0,False,305,62.63749656702764,0,False,True,linux,1.0,0.27779262208716904,full,300,True,0.1,0,4,20,attack-v2-row-v1,1687433278,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.33833839697763,0,False,343,73.24143316458013,0,False,True,linux,1.0,0.2931408703092497,full,300,True,0.15,0,5,20,attack-v2-row-v1,246746717,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.82138404296711,0,False,354,74.30341772239447,0,False,True,linux,1.0,0.3016875386645443,full,300,True,0.2,0,5,20,attack-v2-row-v1,561821012,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.83245970401913,0,False,274,57.562688596695324,0,False,True,linux,1.0,0.283897367745441,full,300,True,0.1,0,5,20,attack-v2-row-v1,1791351793,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.63839510688558,0,False,307,64.26418933013404,0,False,True,linux,1.0,0.3072909051314584,full,300,True,0.2,0,6,20,attack-v2-row-v1,85778386,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.5272971750237,0,False,369,74.9937990533588,0,False,True,linux,1.0,0.2949782915815893,full,300,True,0.1,0,6,20,attack-v2-row-v1,837494165,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.7471884060651,0,False,330,69.22674736842622,0,False,True,linux,1.0,0.2987095858670981,full,300,True,0.15,0,6,20,attack-v2-row-v1,1357111536,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,73.03371094213799,0,False,335,69.94705654766949,0,False,True,linux,1.0,0.2982508053909512,full,300,True,0.15,0,7,20,attack-v2-row-v1,718515065,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.91451541194692,0,False,339,68.88055632168175,0,False,True,linux,1.0,0.27822301234184305,full,300,True,0.2,0,7,20,attack-v2-row-v1,893476735,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,72.13985444698483,0,False,270,56.01062811559346,0,False,True,linux,1.0,0.2938258665475998,full,300,True,0.1,0,7,20,attack-v2-row-v1,1684041766,200,200,False,True,engineered_fragility,0,0,0,False
False,True,False,0.0,False,False,True,True,71.09045672509819,0,False,318,65.72523392747026,0,False,True,linux,1.0,0.2973190849590516,full,300,True,0.2,0,8,20,attack-v2-row-v1,348224418,200,200,False,True,engineered_fragility,0,0,0,False
