action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_capture_strength,parameter_defense_active,parameter_defense_mode,parameter_dependency_rate,parameter_rotation_interval,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
False,True,True,0.9928057553956835,False,False,False,False,197.78921344457194,139,False,437,146.88899500934934,139,False,True,linux,1.0,0.308286886617206,full,300,0.9,False,undefended,0.15,,1,9,20,attack-v2-row-v1,710684843,300,300,True,True,biological_veto_capture,250,138,139,False
False,True,True,1.0,False,False,False,False,196.40774196805432,250,False,481,96.57734004278558,250,False,True,linux,1.0,0.2730909401965283,full,300,0.9,False,undefended,0.02,,0,9,20,attack-v2-row-v1,724781511,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,True,1.0,False,False,False,False,196.55910066980869,250,False,390,77.38981848502472,250,False,True,linux,1.0,0.300120851213734,full,300,1.0,False,undefended,0.02,,0,9,20,attack-v2-row-v1,1140549891,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,198.24491295637563,1,False,441,149.26894065772416,1,False,True,linux,1.0,0.2881978973760672,full,300,0.3,False,undefended,0.02,,1,9,20,attack-v2-row-v1,1204120127,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,False,0.0,False,False,False,False,198.07044039061293,1,False,520,179.198847011185,1,False,True,linux,1.0,0.32999999999999996,full,300,0.3,False,undefended,0.2,,1,9,20,attack-v2-row-v1,1737959687,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,False,0.0,False,False,False,False,198.69629775965586,1,False,471,160.55871862220505,1,False,True,linux,1.0,0.30004014284700253,full,300,0.3,False,undefended,0.1,,1,9,20,attack-v2-row-v1,1897634419,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.9166666666666666,False,False,False,False,198.72639979002997,12,False,428,150.18385279006526,12,False,True,linux,1.0,0.31935597500251534,full,300,1.0,False,undefended,0.01,,1,9,20,attack-v2-row-v1,1930001367,300,300,True,True,biological_veto_capture,250,11,12,False
False,True,True,0.5,False,False,False,False,198.9302406371571,2,False,467,151.5401650331637,2,False,True,linux,1.0,0.29546729272535055,full,300,0.3,False,undefended,0.15,,1,9,20,attack-v2-row-v1,1962414231,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,True,0.5,False,False,False,False,200.31081583397463,2,False,441,150.74300818616175,2,False,True,linux,1.0,0.29802214447125996,full,300,0.3,False,undefended,0.05,,1,9,20,attack-v2-row-v1,2047530443,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,True,0.9943820224719101,False,False,False,False,202.05079832393676,178,False,418,150.97027819873966,178,False,True,linux,1.0,0.2947263817636304,full,300,0.9,False,undefended,0.02,,1,10,20,attack-v2-row-v1,5296703,300,300,True,True,biological_veto_capture,250,177,178,False
False,True,False,0.0,False,False,False,False,192.4333335608244,1,False,460,159.92873609090455,1,False,True,linux,1.0,0.30850915063208756,full,300,0.3,False,undefended,0.01,,1,10,20,attack-v2-row-v1,715811111,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,False,0.0,False,False,False,False,196.16787300119177,1,False,484,164.53991901839885,1,False,True,linux,1.0,0.28909218169952783,full,300,0.5,False,undefended,0.01,,1,10,20,attack-v2-row-v1,1047422015,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,True,0.5,False,False,False,False,195.9004750722088,2,False,454,160.96866067847,2,False,True,linux,1.0,0.3084043642403172,full,300,0.3,False,undefended,0.1,,1,10,20,attack-v2-row-v1,1740409359,300,300,True,True,biological_veto_capture,250,1,2,False
False,True,True,1.0,False,False,False,False,195.9921931643039,250,False,450,93.01586917049332,250,False,True,linux,1.0,0.29925375573963625,full,300,1.0,False,undefended,0.2,,0,10,20,attack-v2-row-v1,1896266219,300,300,True,True,biological_veto_capture,250,250,250,False
False,True,False,0.0,False,False,False,False,198.50133515289053,1,False,441,147.50986677194038,1,False,True,linux,1.0,0.3040743768281553,full,300,0.5,False,undefended,0.02,,1,10,20,attack-v2-row-v1,2067684187,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,False,0.0,False,False,False,False,196.42796943802387,1,False,456,158.35950713093914,1,False,True,linux,1.0,0.318838904855501,full,300,0.3,False,undefended,0.1,,1,11,20,attack-v2-row-v1,42842651,300,300,False,True,biological_veto_capture,250,0,1,False
False,True,False,0.0,False,False,False,False,198.13852460915223,1,False,474,167.55325227885058,1,False,True,linux,1.0,0.2769701168595637,full,300,0.5,False,undefended,0.01,,1,11,20,attack-v2-row-v1,967796199,300,300,False,True,biological_veto_capture,250,0,1,False
