action_modified,attack_attempted,attack_succeeded,capture_rate,collapsed,contamination_occurred,defense_active,defense_fired,elapsed_seconds,evaluated_yield_opportunities,extinct,final_population,final_u_sys_v2,honest_yield_opportunities,integrity_tamper_attempted,is_v2_mode,machine,max_total_suppression,min_resilience_stock,mode,n_candidates_v2,parameter_defense_active,parameter_phi,ratified_yields,replicate,rollout_steps_v2,schema_version,seed,steps_completed,steps_requested,succession_blocked,survived,vector,yield_checks,yield_condition_blocked_count,yield_condition_met_count,yield_manipulated
True,True,True,0.0,True,False,False,False,34.89628903521225,0,True,0,3.0062250176820022,0,False,True,linux,1.0,0.31770000145734506,full,300,False,5.0,0,13,20,attack-v2-row-v1,1107915030,99,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,39.02082502283156,0,True,0,2.693472786893132,0,False,True,linux,1.0,0.32999999999999996,full,300,False,1.0,0,13,20,attack-v2-row-v1,1666093640,110,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.10047698998824,0,True,0,2.976533167950673,0,False,True,linux,1.0,0.29046203516006813,full,300,False,5.0,0,14,20,attack-v2-row-v1,1453302934,100,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.00918020308018,0,True,0,2.888495567777262,0,False,True,linux,1.0,0.2977526380863678,full,300,False,1.0,0,14,20,attack-v2-row-v1,1538997040,103,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.916744181886315,0,True,0,2.720504015943646,0,False,True,linux,1.0,0.2998999850170911,full,300,False,15.0,0,14,20,attack-v2-row-v1,1680866138,109,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,40.103069487027824,0,True,0,2.6139821283449773,0,False,True,linux,1.0,0.32719138827418676,full,300,False,10.0,0,14,20,attack-v2-row-v1,1712275304,113,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,38.29470659280196,0,True,0,2.859791494981406,0,False,True,linux,1.0,0.2823992457291076,full,300,False,25.0,0,14,20,attack-v2-row-v1,1900303422,104,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,35.42584047885612,0,True,0,3.006223554737012,0,False,True,linux,1.0,0.2784798979960846,full,300,False,1.0,0,15,20,attack-v2-row-v1,32350245,99,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,36.9796807738021,0,True,0,2.859791340131399,0,False,True,linux,1.0,0.3162330073881927,full,300,False,5.0,0,15,20,attack-v2-row-v1,108036533,104,300,False,False,bootstrap_subversion,0,0,0,False
True,True,True,0.0,True,False,False,False,37.52430082671344,0,True,0,2.8884954481087473,0,False,True,linux,1.0,0.2815642685518333,full,300,False,15.0,0,15,20,attack-v2-row-v1,836247270,103,300,False,False,bootstrap_subversion,0,0,0,False
